group,intercept,age,_age,__age,___age,year,sqrtcd4n,haart_period
het_black_male,219.21339864071427,-0.020800346893924317,0.04343760685367643,-0.17776894286889616,0.18794023184999453,-0.10994622857243526,0.0021929953705754203,-0.13401769826270837
het_black_female,129.4712719547395,-0.007626318241306704,-0.017985851743508422,0.00695066625275399,0.04980868533618686,-0.06556016915135013,0.0035410523865897245,-0.23618393835442636
het_hisp_male,152.5417489608429,0.02170648094168237,-0.08506017510264145,0.1175972694081149,-0.014480464813973195,-0.07759576691585665,0.024898264797319297,-0.17904592602030767
het_hisp_female,220.37463500039442,-0.002820934368207782,0.05392773903292957,-0.18368702442752613,0.16681004350750558,-0.11083183219751709,-0.013809468599120156,-0.1034194187187194
het_white_male,151.56960868546832,-0.024339705283137867,0.013812611742730043,-0.07718291408326737,0.04178453654562082,-0.07612409733745247,-0.005860967356129174,-0.2373380529004207
het_white_female,83.6998150989224,-0.014040664144945317,-0.05133477488236423,0.14797327514678868,-0.1129864340880578,-0.0424901905116747,0.0015481632818408599,-0.40893947897362176
idu_black_male,14.010515480497505,-0.026622899917548418,8.44352919933484e-5,0.009215591223257578,0.02224945488744933,-0.007947228119950097,-0.0021077018011543148,0.23503253884018926
idu_black_female,140.85472580101157,-0.019906116182693456,-0.020675449181867787,0.06851973048027846,0.08192273597141277,-0.07106457038942209,0.013608948893080857,0.2234208141439131
idu_hisp_male,106.01955209110956,-0.006430769313517154,5.10776070555629e-4,-0.09395288714970815,0.024705629558427533,-0.05373052990280952,-0.00644059364609004,-0.2263077083842198
idu_hisp_female,1.66209633079414,-0.001286901738485772,-0.019900246470492395,-0.26907580933540715,0.39171096426949636,-0.0015328516418667334,-0.02257811274248929,-0.35363534389219287
idu_white_male,32.984758438034206,-0.02187832137022141,-0.02476462802001557,-0.03056540743263255,0.11292055347785802,-0.01739791880859248,0.0053813050109625515,-0.14846783559513738
idu_white_female,133.5284839089448,-0.005920645683856134,-0.03009935266365825,-0.043322145624799566,0.23616058510518437,-0.06765248529291637,0.002993974706140574,-0.40868171325956043
msm_black_male,116.39882103890814,0.07453282342528086,-0.19016444151773082,0.20901013567019272,4.6857120510326557e-4,-0.06004526006839328,0.003912872625551082,-0.2616268764634075
msm_hisp_male,95.79858720706262,0.07582762870477029,-0.18203618036422656,0.2698433808132361,-0.10364244704716122,-0.05008151041179124,0.02019839295599532,-0.34748390481442704
msm_white_male,58.197976412146154,0.0055717556847550654,-0.059470347374123905,0.09283589848500862,0.003329600287308899,-0.03022198886937948,0.004920355902224686,-0.27829665738081066
