group,term,estimate,conf_high,conf_low
het_black_female,mu1,31.930436146813914,34.755090243672356,29.10578204995547
het_black_female,mu2,44.75049457316936,46.968642181127684,42.53234696521104
het_black_female,sigma1,5.367422664058586,7.511915803331963,3.22292952478521
het_black_female,sigma2,9.730804187934705,10.536883969100755,8.924724406768656
het_black_female,lambda1,0.12321527673731009,0.29445311173367394,-0.0480225582590538
idu_black_male,mu1,34.53102707664164,39.93249820237518,29.12955595090811
idu_black_male,mu2,53.7388792075961,53.99258043866232,53.485177976529876
idu_black_male,sigma1,5.963828037311658,8.345259998218925,3.5823960764043905
idu_black_male,sigma2,6.394175343620108,6.578346501018752,6.2100041862214646
idu_black_male,lambda1,0.022018125961868487,0.04561643605075712,-0.0015801841270201462
idu_hisp_male,mu1,36.20262633148449,39.31175268354463,33.093499979424344
idu_hisp_male,mu2,52.77114120940935,53.749340127606075,51.792942291212626
idu_hisp_male,sigma1,5.075644326442517,6.59359334426774,3.557695308617294
idu_hisp_male,sigma2,6.554422593206007,7.188659774928921,5.920185411483092
idu_hisp_male,lambda1,0.14627394563356033,0.2271768081764855,0.06537108309063518
msm_black_male,mu1,25.90157466563675,26.475679757666278,25.327469573607225
msm_black_male,mu2,44.15102821208629,44.69179242849221,43.61026399568037
msm_black_male,sigma1,3.36447304669819,3.833697865401311,2.895248227995069
msm_black_male,sigma2,8.995675326063536,9.376883911957293,8.614466740169778
msm_black_male,lambda1,0.14282759687302246,0.1684205274550899,0.11723466629095504
idu_white_male,mu1,27.456577651446608,30.76582293025647,24.147332372636747
idu_white_male,mu2,49.398451154999975,49.79934052055972,48.99756178944023
idu_white_male,sigma1,3.2020609761615773,5.083281374814055,1.3208405775090994
idu_white_male,sigma2,8.269507648359733,8.561895068298114,7.977120228421352
idu_white_male,lambda1,0.015177729811147372,0.04015464218999826,-0.009799182567703513
het_hisp_female,mu1,32.32390604609915,35.80350686774723,28.844305224451066
het_hisp_female,mu2,45.710917802110934,49.519656424179566,41.9021791800423
het_hisp_female,sigma1,5.06763772670709,7.474506421953195,2.660769031460984
het_hisp_female,sigma2,9.525645810720798,11.077827157149715,7.973464464291881
het_hisp_female,lambda1,0.1893213556593371,0.4424276473507722,-0.063784936032098
het_black_male,mu1,46.122316598561355,46.948972907047526,45.29566029007518
het_black_male,mu2,47.272914810074944,48.11517701219269,46.4306526079572
het_black_male,sigma1,6.065526756493268,7.387443400794207,4.7436101121923295
het_black_male,sigma2,11.387065000201018,12.43494230363158,10.339187696770455
het_black_male,lambda1,0.39794656975846054,0.5885534055424849,0.20733973397443614
het_hisp_male,mu1,40.17377416679762,42.89846150890365,37.44908682469159
het_hisp_male,mu2,53.13123458201475,63.18543261208987,43.07703655193963
het_hisp_male,sigma1,7.944128266504731,9.563303362793986,6.324953170215476
het_hisp_male,sigma2,10.330379258822656,13.81507847675637,6.8456800408889436
het_hisp_male,lambda1,0.6553128889644627,0.9861960232442231,0.3244297546847023
msm_hisp_male,mu1,40.7755980757064,41.34985234445347,40.20134380695933
msm_hisp_male,mu2,65.22083207209378,78.08336374101287,52.358300403174695
msm_hisp_male,sigma1,8.734919022730375,9.171098814766482,8.298739230694268
msm_hisp_male,sigma2,9.291667607656649,14.390685335028873,4.192649880284424
msm_hisp_male,lambda1,0.9735304698621056,1.0313256674281646,0.9157352722960467
idu_black_female,mu1,47.810425348459944,52.31626490205038,43.30458579486951
idu_black_female,mu2,53.12674485899441,55.046089770515295,51.20739994747352
idu_black_female,sigma1,7.21453818155887,8.691242138465192,5.7378342246525484
idu_black_female,sigma2,3.6621790404101184,5.638804040802944,1.6855540400172933
idu_black_female,lambda1,0.7403843676428512,1.1066526014850728,0.3741161338006297
msm_white_male,mu1,46.315885802446374,46.799473871105285,45.83229773378746
msm_white_male,mu2,46.89436451953732,47.141737797802136,46.6469912412725
msm_white_male,sigma1,3.4908030616041335,4.1150573424852945,2.8665487807229724
msm_white_male,sigma2,10.29963358150603,10.545741942531333,10.053525220480726
msm_white_male,lambda1,0.1587424265233416,0.1984887287830475,0.11899612426363573
het_white_male,mu1,47.14898569473001,49.028671123586875,45.26930026587314
het_white_male,mu2,49.449389732099704,52.89569867609022,46.00308078810919
het_white_male,sigma1,4.271386163773673,7.043033547607407,1.49973877993994
het_white_male,sigma2,10.855928076738387,12.196770931742938,9.515085221733836
het_white_male,lambda1,0.19281631364603802,0.4454901252609797,-0.05985749796890366
idu_hisp_female,mu1,29.491291350452876,33.949682402543345,25.03290029836241
idu_hisp_female,mu2,49.46569262787034,51.21753875059423,47.71384650514645
idu_hisp_female,sigma1,2.325890008525525,4.611003955650821,0.0407760614002286
idu_hisp_female,sigma2,6.979733789175499,8.152443729754362,5.807023848596636
idu_hisp_female,lambda1,0.05162940225537906,0.1683892777185687,-0.0651304732078106
het_white_female,mu1,42.5029624330198,45.099051695289376,39.90687317075023
het_white_female,mu2,53.78086368599533,67.95816297380266,39.60356439818799
het_white_female,sigma1,8.579715635547524,10.173130191200134,6.986301079894915
het_white_female,sigma2,10.475542153449029,15.410818824933394,5.540265481964663
het_white_female,lambda1,0.7800453067528444,1.1296080166944742,0.43048259681121465
idu_white_female,mu1,33.87420156007174,39.87026974175993,27.87813337838355
idu_white_female,mu2,46.62213157052549,50.74226741285118,42.5019957281998
idu_white_female,sigma1,4.599233552049857,7.911543629491101,1.2869234746086136
idu_white_female,sigma2,7.820787586442731,9.655805151059822,5.9857700218256396
idu_white_female,lambda1,0.12630155456094322,0.47225736888968245,-0.219654259767796
