group,mortality_age_group,p
idu_hisp_female,6,0.00282592404444018
idu_hisp_female,7,0.0045806010558087995
idu_hisp_female,8,0.0071065421526607594
idu_hisp_female,9,0.0106910139459292
idu_hisp_female,10,0.01648954266559132
idu_hisp_female,11,0.026060741474724602
idu_hisp_female,12,0.0433539903725536
idu_hisp_female,13,0.0764968431326698
idu_hisp_male,0,0.0011364688682795538
idu_hisp_male,1,0.0023217685274679
idu_hisp_male,2,0.00253886706790722
idu_hisp_male,3,0.0026093325793035598
idu_hisp_male,4,0.00314901928881922
idu_hisp_male,5,0.0038222619538807205
idu_hisp_male,6,0.00556847825857732
idu_hisp_male,7,0.008552831680759161
idu_hisp_male,8,0.013224371237840359
idu_hisp_male,9,0.019768443005452264
idu_hisp_male,10,0.0279110419975296
idu_hisp_male,11,0.04140515410204001
idu_hisp_male,12,0.0648326683339378
idu_hisp_male,13,0.106568658740924
idu_black_female,0,0.000730124634456494
idu_black_female,1,0.001285173407133442
idu_black_female,2,0.0018751408012085717
idu_black_female,3,0.0026092620410471403
idu_black_female,4,0.0036633076308424596
idu_black_female,5,0.0050926530729733
idu_black_female,6,0.0072738955001211796
idu_black_female,7,0.01098590526578814
idu_black_female,8,0.016572404891656803
idu_black_female,9,0.024084931321724803
idu_black_female,10,0.0330673166723072
idu_black_female,11,0.046805819101834206
idu_black_female,12,0.0696726450485636
idu_black_female,13,0.10939892135076722
idu_black_male,0,0.0023484023521359
idu_black_male,1,0.00413023788183712
idu_black_male,2,0.00483000169916084
idu_black_male,3,0.0056803529012555195
idu_black_male,4,0.006866724587060161
idu_black_male,5,0.0088075278527061
idu_black_male,6,0.01182793012834408
idu_black_male,7,0.017620039251038982
idu_black_male,8,0.0271596023937222
idu_black_male,9,0.0408191304729474
idu_black_male,10,0.0574952377877506
idu_black_male,11,0.07440480800508059
idu_black_male,12,0.10703985744575821
idu_black_male,13,0.15568668407310698
idu_white_female,0,0.000601240469053254
idu_white_female,1,0.001026494403916848
idu_white_female,2,0.001464937454953252
idu_white_female,3,0.00204765946677996
idu_white_female,4,0.0026529151045998
idu_white_female,5,0.0034474152268338
idu_white_female,6,0.00503645726562696
idu_white_female,7,0.007576488798385019
idu_white_female,8,0.011259504145922382
idu_white_female,9,0.01575669970977846
idu_white_female,10,0.022643591333596398
idu_white_female,11,0.0362595500101934
idu_white_female,12,0.06016589775733439
idu_white_female,13,0.10448733479087959
idu_white_male,0,0.00125086658463225
idu_white_male,1,0.00244134370936754
idu_white_male,2,0.0033202350162011597
idu_white_male,3,0.0040550937542197995
idu_white_male,4,0.00483029824343148
idu_white_male,5,0.0056949354224351805
idu_white_male,6,0.007995692301878939
idu_white_male,7,0.012031226729109822
idu_white_male,8,0.018418351192159923
idu_white_male,9,0.026315282567802002
idu_white_male,10,0.036286309896408
idu_white_male,11,0.05297962718024939
idu_white_male,12,0.08405447591981159
idu_white_male,13,0.13907964720116256
