group,...1,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18
het_black_male,0.1504271219099751,-0.011222420022432546,0.029738736595381315,-0.03479772219566161,0.006031984648911122,-0.03643680891161059,-0.03477993966139843,-0.038395155526566555,-0.02444798311165677,0.010010769064422007,0.006787285121707592,0.010600240915260413,-0.018453937654496506,-0.007556093319004575,-0.025833192602413665,0.008589299505064318,-0.005807808993796434,0.020285880172836848
het_black_male,-0.011222420022434159,0.009949781299440777,-0.026176715569573638,0.034789409767366025,-0.010154816278124326,1.7476294531087522e-4,0.001245212696900892,0.002542869429590075,-8.110701351729624e-4,-5.792408223601078e-4,-0.003111848622414997,-0.003726824799683782,2.870908025818242e-4,0.00868448378138164,0.00879759699103526,9.6761438370617e-4,-0.009638388168249707,-0.006765029930881163
het_black_male,0.029738736595394152,-0.02617671556957927,0.09496453113533773,-0.15706384940775098,0.07592719964946369,0.007860892179699356,0.005154611032137521,0.0015512850934543266,-3.270852466522194e-5,-0.02393805998460949,-0.017478563411234212,-0.01561796413366633,0.06412857184414647,0.04271460876505918,0.041187005403237664,-0.05189862061950905,-0.024777289637524715,-0.030602312258127262
het_black_male,-0.03479772219567944,0.03478940976737254,-0.15706384940773543,0.3039461918547188,-0.19168197764984135,-0.016175274848412,-0.012505617447081905,-0.007667482482017905,3.240285220092362e-4,0.06270441996852842,0.053952901719540355,0.05144750959245863,-0.18070476976404162,-0.15168488481861284,-0.1496191122258122,0.16012961299232495,0.12327782161645347,0.13117772716410014
het_black_male,0.0060319846489149745,-0.010154816278122989,0.07592719964943988,-0.1916819776498227,0.17340753747434215,0.009834122672290427,0.008686256840495737,0.007237143054137953,-3.703374258614102e-4,-0.04842667065125051,-0.04569025026804013,-0.04493696297710079,0.1559824459569936,0.14690006346161347,0.1463203851560566,-0.1645717737671324,-0.15294325351639285,-0.15549795545730477
het_black_male,-0.03643680891160879,1.7476294531064792e-4,0.007860892179698037,-0.016175274848411674,0.009834122672290542,0.07437347010046975,0.03339739120305851,0.03340812554422881,6.949682916918748e-4,-0.020341060333305794,-0.008562750569000221,-0.00859355845909385,0.04279123071433092,0.017169420585769445,0.01726527606737521,-0.026045969818289254,-0.010203652946725806,-0.010276407662002388
het_black_male,-0.034779939661394324,0.0012452126968996648,0.00515461103213918,-0.01250561744708834,0.008686256840499082,0.03339739120305838,0.08834678028166415,0.03358115805437244,-1.251673013384965e-4,-0.008579122397917754,-0.018440851446215913,-0.00882844662507556,0.017172267579273627,0.04140131101373815,0.017793485737717947,-0.010149799299688539,-0.03626082489458815,-0.010623756609639014
het_black_male,-0.03839515552656525,0.0025428694295887935,0.0015512850934566872,-0.007667482482022325,0.007237143054139139,0.03340812554422915,0.03358115805437281,0.13071435825750094,2.9808528689512757e-4,-0.008639422461861269,-0.009145116892525814,-0.03282597752471265,0.017229193425614107,0.01890502579711455,0.06839155640877079,-0.010094775762273547,-0.012114768756457884,-0.04723965041939299
het_black_male,-0.02444798311165639,-8.11070135173467e-4,-3.270852466320735e-5,3.240285220059755e-4,-3.7033742585970843e-4,6.949682916921558e-4,-1.251673013379231e-4,2.9808528689508903e-4,0.006216322190582486,-1.5920492138995473e-4,0.0016162285768068477,8.96219451048898e-4,2.736385698784412e-4,-0.005668493194516606,-0.0011503812034418881,-4.206204952833845e-5,0.007650734435289527,3.486784778739872e-5
het_black_male,0.010010769064422583,-5.792408223625066e-4,-0.02393805998459655,0.06270441996851055,-0.04842667065124132,-0.020341060333305877,-0.00857912239791596,-0.008639422461860816,-1.592049213893424e-4,0.06322222628251539,0.025699112911966603,0.02573254106627699,-0.15505279425232218,-0.06531589646190175,-0.06531573903476684,0.11196070724149387,0.04959390764824155,0.04942688759217021
het_black_male,0.006787285121707934,-0.0031118486224164963,-0.017478563411222097,0.05395290171952878,-0.045690250268034575,-0.00856275056899821,-0.018440851446209657,-0.00914511689252591,0.0016162285768072675,0.025699112911967477,0.06913600354309336,0.026277776956374548,-0.06513487496048223,-0.1917861665398551,-0.06660952258742439,0.04920263573252574,0.17620793020337422,0.050354109600651155
het_black_male,0.010600240915257093,-0.0037268247996817584,-0.015617964133670819,0.05144750959246879,-0.04493696297710451,-0.008593558459094295,-0.008828446625075698,-0.03282597752471827,8.962194510492531e-4,0.02573254106627876,0.02627777695637614,0.14174503938964947,-0.06516038924399473,-0.06694889730788428,-0.36669911305771674,0.04915573334076591,0.05120536961154039,0.2908121924162421
het_black_male,-0.018453937654497824,2.8709080258731246e-4,0.06412857184411379,-0.18070476976399705,0.1559824459569693,0.04279123071433007,0.017172267579269016,0.017229193425614516,2.736385698768167e-4,-0.1550527942523227,-0.06513487496047962,-0.06516038924398682,0.4302431210636572,0.18238130487286125,0.1822792916049494,-0.36708514457138736,-0.15716580680478587,-0.1567033967900109
het_black_male,-0.007556093319010396,0.008684483781389226,0.042714608765014116,-0.15168488481856307,0.1469000634615885,0.017169420585761073,0.04140131101371308,0.018905025797113444,-0.005668493194517626,-0.06531589646190125,-0.19178616653985528,-0.0669488973078784,0.18238130487286175,0.6627413569760096,0.1865283375780885,-0.1565131467221505,-0.7535511264097998,-0.15974799307820178
het_black_male,-0.0258331926024154,0.008797596991036848,0.04118700540322927,-0.1496191122258099,0.1463203851560574,0.017265276067375636,0.017793485737716476,0.0683915564087861,-0.0011503812034427676,-0.06531573903477055,-0.06660952258742714,-0.36669911305773756,0.1822792916049697,0.18652833757810033,1.1104082792767618,-0.15627236636565567,-0.16117741956043147,-1.0717586246482873
het_black_male,0.008589299505068862,9.67614383697077e-4,-0.051898620619463556,0.16012961299225692,-0.1645717737670954,-0.026045969818282035,-0.010149799299682516,-0.010094775762270454,-4.2062049527127006e-5,0.11196070724148803,0.04920263573251808,0.049155733340754536,-0.3670851445713707,-0.15651314672213512,-0.15627236636562528,0.3942722824864708,0.16383067557018496,0.16331118029915476
het_black_male,-0.005807808993804731,-0.009638388168250047,-0.024777289637505508,0.12327782161644124,-0.15294325351638363,-0.01020365294671206,-0.03626082489453584,-0.01211476875645678,0.007650734435290188,0.049593907648243264,0.17620793020337464,0.051205369611537654,-0.1571658068047922,-0.7535511264097967,-0.16117741956042692,0.16383067557020176,1.0516663949425622,0.16679067783105397
