group,param,h1yy,pred
het_black_female,lambda1,2009,0.14634238370430808
het_black_female,lambda1,2010,0.17310511002377638
het_black_female,lambda1,2011,0.19986783634325178
het_black_female,lambda1,2012,0.22663056266272008
het_black_female,lambda1,2013,0.2533932889821884
het_black_female,lambda1,2014,0.2801560153016638
het_black_female,lambda1,2015,0.3069187416211321
het_black_female,lambda1,2016,0.3336814679406075
het_black_female,lambda1,2017,0.3604441942600758
het_black_female,lambda1,2018,0.3872069205795441
het_black_female,lambda1,2019,0.4139696468990195
het_black_female,lambda1,2020,0.4407323732184878
het_black_female,lambda1,2021,0.4674950995379632
het_black_female,lambda1,2022,0.4942578258574315
het_black_female,lambda1,2023,0.5210205521768998
het_black_female,lambda1,2024,0.5477832784963752
het_black_female,lambda1,2025,0.5745460048158435
het_black_female,lambda1,2026,0.6013087311353118
het_black_female,lambda1,2027,0.6280714574547872
het_black_female,lambda1,2028,0.6548341837742555
het_black_female,lambda1,2029,0.6815969100937309
het_black_female,lambda1,2030,0.7083596364131992
het_black_female,lambda2,2009,0.853657616295699
het_black_female,lambda2,2010,0.8268948899762307
het_black_female,lambda2,2011,0.8001321636567553
het_black_female,lambda2,2012,0.773369437337287
het_black_female,lambda2,2013,0.7466067110178187
het_black_female,lambda2,2014,0.7198439846983433
het_black_female,lambda2,2015,0.693081258378875
het_black_female,lambda2,2016,0.6663185320593996
het_black_female,lambda2,2017,0.6395558057399313
het_black_female,lambda2,2018,0.612793079420463
het_black_female,lambda2,2019,0.5860303531009876
het_black_female,lambda2,2020,0.5592676267815193
het_black_female,lambda2,2021,0.5325049004620439
het_black_female,lambda2,2022,0.5057421741425756
het_black_female,lambda2,2023,0.4789794478231073
het_black_female,lambda2,2024,0.4522167215036319
het_black_female,lambda2,2025,0.4254539951841636
het_black_female,lambda2,2026,0.3986912688646953
het_black_female,lambda2,2027,0.3719285425452199
het_black_female,lambda2,2028,0.3451658162257516
het_black_female,lambda2,2029,0.3184030899062762
het_black_female,lambda2,2030,0.2916403635868079
het_black_female,mu1,2009,25.444987912742363
het_black_female,mu1,2010,26.141265625208234
het_black_female,mu1,2011,26.837543337674106
het_black_female,mu1,2012,27.533821050139977
het_black_female,mu1,2013,28.23009876260585
het_black_female,mu1,2014,28.92637647507172
het_black_female,mu1,2015,29.62265418753759
het_black_female,mu1,2016,30.318931900003463
