group,covariate,intercept,year,age,age1,age2,tv_sqrtcd4n,tv_sqrtcd4n1,tv_sqrtcd4n2
het_black_male,intercept,2646.24949815133,-1.3152253189690302,0.00769560582330487,-0.0214713219590372,0.11836958589932901,-0.038632407570952,0.35832712197874605,-1.8582371457240399
het_black_male,year,-1.31522531902898,0.0006539303767195849,-1.6241949490330702e-05,3.41715339186969e-05,-0.000154885714068592,1.682704371537e-05,-0.000172628514807681,0.000894249512210835
het_black_male,age,0.00769560580160799,-1.62419494812135e-05,0.000663465486112799,-0.0013150965623371,0.0055082876927591605,4.51273688670719e-05,-0.00010549333163274599,0.000613917938316737
het_black_male,age1,-0.0214713219255236,3.41715339066072e-05,-0.0013150965623363,0.00310716467108282,-0.0141583214785385,-0.000116270787846228,0.000346324800489042,-0.00221911146078228
het_black_male,age2,0.11836958591493599,-0.000154885714095396,0.00550828769274862,-0.0141583214785196,0.0675514322861459,0.00047350334431710305,-0.0015932248965364,0.0104241103111848
het_black_male,tv_sqrtcd4n,-0.0386324075710975,1.68270437151904e-05,4.5127368867040506e-05,-0.00011627078784621399,0.000473503344317595,0.000365584029111846,-0.0010636205807468301,0.00605750987216995
het_black_male,tv_sqrtcd4n1,0.35832712196286404,-0.000172628514796087,-0.000105493331630664,0.00034632480048496603,-0.00159322489652846,-0.00106362058074681,0.00415561935935122,-0.0267635273166329
het_black_male,tv_sqrtcd4n2,-1.85823714571682,0.0008942495121892321,0.0006139179383089441,-0.0022191114607689197,0.010424110311175,0.0060575098721701295,-0.0267635273166373,0.19417223276360102
het_black_female,intercept,2859.0753885912604,-1.4209641334576801,-0.0219886250631817,0.143646613513608,-0.614943357098603,0.000469758182749372,0.32465986855788803,-1.99031193024595
het_black_female,year,-1.4209641335878,0.000706394518585521,1.06341962056349e-06,-4.8759180225240295e-05,0.00022514168373693398,-2.0482440466078e-06,-0.00015675533723063799,0.0009631058454569529
het_black_female,age,-0.0219886250707322,1.0634196239136601e-06,0.000587868429712616,-0.0014110868257484301,0.00511574632192121,4.75628292891374e-05,-0.000127124977947913,0.000846502197058395
het_black_female,age1,0.143646613518281,-4.87591802246028e-05,-0.00141108682574822,0.0039546661898466,-0.0152608243335392,-0.000121005646110803,0.000335666279822753,-0.00235838343114887
het_black_female,age2,-0.6149433571429499,0.00022514168375164102,0.00511574632191938,-0.0152608243335368,0.0606712824541005,0.00040597916602404,-0.00120825066256385,0.00888807451732934
het_black_female,tv_sqrtcd4n,0.000469758182626809,-2.0482440464522597e-06,4.75628292891628e-05,-0.000121005646110903,0.000405979166024344,0.00023548463211307998,-0.000685648133895525,0.0035737187828361796
het_black_female,tv_sqrtcd4n1,0.324659868564593,-0.000156755337227601,-0.000127124977947375,0.00033566627982233103,-0.00120825066256054,-0.0006856481338954679,0.00279819338144464,-0.0166828075654869
het_black_female,tv_sqrtcd4n2,-1.9903119302465302,0.00096310584543129,0.000846502197056712,-0.0023583834311483,0.00888807451732093,0.00357371878283584,-0.0166828075654854,0.110099040079094
idu_black_male,intercept,1046.88500112475,-0.5199657497225421,-0.0327055685541756,0.13511085556680302,-0.6453421565798559,-0.00178513871122792,0.0880279535657537,-0.42055152261190704
idu_black_male,year,-0.519965749690077,0.000258384664638705,1.09208795311293e-05,-5.7937930377528793e-05,0.00027742389846459797,1.3948259529756598e-07,-4.18024635445837e-05,0.000200498026323782
idu_black_male,age,-0.0327055685511494,1.0920879530728698e-05,0.000229348131695423,-0.000416588751561467,0.00201173920257344,7.00339612218206e-06,-2.13986750936625e-05,8.434765556124e-05
idu_black_male,age1,0.135110855546595,-5.793793037155239e-05,-0.00041658875156132003,0.00099817396373071,-0.00550688313911172,-1.8000700493342497e-05,4.25179735874486e-05,-0.00020273236520703
idu_black_male,age2,-0.6453421564170121,0.00027742389840369,0.00201173920256845,-0.0055068831390999,0.0327442855864829,7.30533794255913e-05,-0.000147289119934781,0.000873557528796138
idu_black_male,tv_sqrtcd4n,-0.00178513871013423,1.3948259474201602e-07,7.00339612213291e-06,-1.8000700493092897e-05,7.30533794239488e-05,0.00011381762441,-0.000330264645432778,0.0015876791062243302
idu_black_male,tv_sqrtcd4n1,0.0880279535574869,-4.1802463541976204e-05,-2.1398675093405603e-05,4.25179735868927e-05,-0.000147289119933863,-0.000330264645432888,0.00135032589372125,-0.0074546145643920704
idu_black_male,tv_sqrtcd4n2,-0.42055152260170897,0.000200498026325167,8.43476555616271e-05,-0.00020273236520880301,0.000873557528812096,0.00158767910622471,-0.00745461456439295,0.0447434889448336
idu_black_female,intercept,9264.28757980236,-4.63903726312501,1.5450973677056203,-2.7574984508906604,15.9752425948066,-0.183608820030003,2.18719090880748,-9.86627373118664
idu_black_female,year,-4.6390372629842505,0.00232545337737242,-0.000884518710874558,0.00157373467403966,-0.00893609899328661,8.42556907180506e-05,-0.00108323091875645,0.00491122713368683
idu_black_female,age,1.5450973679309898,-0.000884518710945964,0.0052778007312295205,-0.009334705463402971,0.0460919000680429,0.000112249698885578,0.00032861339454643703,-0.00235326083592778
idu_black_female,age1,-2.75749845119721,0.0015737346741154302,-0.009334705463407129,0.0189355995853675,-0.10173360696310099,-0.00041869535777354,-0.000164107055443781,0.00308016187563807
idu_black_female,age2,15.9752425964098,-0.00893609899373786,0.046091900068027006,-0.10173360696305199,0.58482685824881,0.00269654213505535,-0.000586225490875936,-0.0108375699189948
idu_black_female,tv_sqrtcd4n,-0.183608820011792,8.42556907092243e-05,0.00011224969888815601,-0.000418695357777368,0.0026965421350774303,0.000848274808164555,-0.00239414140705595,0.00984608133255463
