group,...1,...2,...3,...4,...5
het_black_male,3207.8368717056555,-1.4193276984056606,-0.18927848419382332,0.056502621379495466,-0.17514222559784692
het_black_male,-1.4193276984765888,8.560675015597218e-4,-1.7952309116330283e-4,2.2736864113974813e-5,-1.5091063636110853e-4
het_black_male,-0.18927848402846337,-1.7952309124964327e-4,0.004625939876579612,-5.369134134420228e-6,2.632421853678447e-4
het_black_male,0.056502621376374185,2.2736864116001932e-5,-5.369134134939561e-6,1.0602272013866018e-4,-5.159438187196728e-5
het_black_male,-0.17514222549279634,-1.5091063639755637e-4,2.6324218534905046e-4,-5.159438187006181e-5,2.3832410203846138e-4
het_black_female,3673.3764370870513,-1.5241301756391201,0.0019442744006985535,0.0518414365711061,-0.3026191371181346
het_black_female,-1.5241301754194654,8.553569367675721e-4,-2.5283971802334123e-4,9.732907923759359e-6,-9.774329059092195e-5
het_black_female,0.00194427440174616,-2.528397180386636e-4,0.0040218496964026275,1.347403315448349e-4,2.429609377500373e-4
het_black_female,0.051841436585831846,9.732907915859445e-6,1.3474033154461007e-4,1.0609746415923919e-4,-3.657035443684249e-5
het_black_female,-0.30261913724037925,-9.774329053654064e-5,2.4296093775597657e-4,-3.6570354436970696e-5,2.4858999338678626e-4
het_hisp_male,16412.636221223416,-8.7659265071105,-0.6139511382862519,-0.29814424331367195,0.614492796525199
het_hisp_male,-8.765926505929016,0.0058549422606748195,-4.347686711144456e-4,2.524360817023003e-4,-0.0015032385516544015
het_hisp_male,-0.6139511391435377,-4.3476867056674307e-4,0.015432226340194595,-1.3336458714149988e-4,7.04855923404496e-4
het_hisp_male,-0.2981442432739325,2.524360816808409e-4,-1.333645871510335e-4,3.2882374809274157e-4,-1.0619015821374152e-4
het_hisp_male,0.614492795627676,-0.001503238551065815,7.048559234203947e-4,-1.0619015820629533e-4,0.001200099152919975
het_hisp_female,20710.5250522802,-8.842204811394131,1.3330702801726222,0.4282453138213331,-1.4620578719108508
het_hisp_female,-8.842204810840848,0.00500946422808921,-0.0015831957853853326,-1.1047038641854788e-4,-6.120800128201721e-4
het_hisp_female,1.33307027962565,-0.0015831957850113276,0.016241261331171934,6.265531824123416e-4,8.810021111503117e-4
het_hisp_female,0.42824531385451375,-1.1047038644748526e-4,6.265531824222953e-4,6.736619397495345e-4,-1.0847674901247231e-4
het_hisp_female,-1.4620578722100195,-6.120800124707849e-4,8.810021111417604e-4,-1.084767490199854e-4,0.0013415939692419093
