group,intercept,year,age,age1,age2,tv_sqrtcd4n,tv_sqrtcd4n1,tv_sqrtcd4n2
het_black_female,86.23585417741471,-0.0441638459802028,0.0183750066104434,0.0346929039789245,-0.0401167421384997,-0.19593437848909803,0.136828049236553,-0.167277919868681
het_black_male,45.47321199384171,-0.0245377319918807,0.0341263009457823,0.0351174296078218,-0.127399415870213,-0.157790208059183,0.12070264935867099,-0.584253552130463
het_hisp_female,31.149469162420804,-0.0187384797079344,0.12863085080531,-0.131671882947836,0.337113500887155,-0.199622527524786,0.158970391051693,-0.60205010734261
het_hisp_male,28.5276138431121,-0.015978077088009,0.0364583343790218,0.0360135189825908,-0.0619620591257339,-0.18728626792373396,0.207350806485704,-0.8233061669323841
het_white_female,31.149469162420804,-0.0187384797079344,0.12863085080531,-0.131671882947836,0.337113500887155,-0.199622527524786,0.158970391051693,-0.60205010734261
het_white_male,28.5276138431121,-0.015978077088009,0.0364583343790218,0.0360135189825908,-0.0619620591257339,-0.18728626792373396,0.207350806485704,-0.8233061669323841
idu_black_female,-5.0854339190275,-0.0010156366139318,0.117365482822688,-0.11178079628946401,0.38866962005253797,-0.109808442397858,-0.0729279844999497,0.6672035880728829
idu_black_male,165.54535977647498,-0.0841008002089779,0.0396084400660588,0.0886087965746681,-0.5495301578131689,-0.14485925095517901,0.0690100440814632,0.08417445074806901
idu_hisp_female,-92.2603706519101,0.0462992500974552,-0.0530136739238263,0.205971298972457,-0.7808706315313679,-0.20070265018046599,0.29825147809307107,-0.90284854247656
idu_hisp_male,83.7409699664847,-0.0438604907934073,0.0565877927402652,0.02198676839828,-0.16602301813953602,-0.12965829805002302,0.026483300890897996,0.20906730336333
idu_white_female,-92.2603706519101,0.0462992500974552,-0.0530136739238263,0.205971298972457,-0.7808706315313679,-0.20070265018046599,0.29825147809307107,-0.90284854247656
idu_white_male,138.654399461869,-0.0707500774166455,0.0437644966386308,0.0556994300617655,-0.37718196799821896,-0.14497841403122502,0.10144692991025399,-0.131576598037642
msm_black_male,32.360948728116604,-0.0180449001311898,0.0476955743599667,-0.0164301041340103,0.0813498988584231,-0.173956396232045,0.0253120621857973,0.541194856199779
msm_hisp_male,-37.432424367733,0.0170934647460622,0.0156829481133238,0.15851543989323097,-0.547353787166899,-0.22143417348519,0.141216294076599,-0.0186289031398879
msm_white_male,35.804246908196795,-0.0195748731733868,0.0480258351306181,0.0198156262636511,-0.0959331483030049,-0.19443093995549202,0.143836483795321,-0.192396279865432
