group,intercept,time_from_h1yy,_time_from_h1yy,__time_from_h1yy,___time_from_h1yy,cd4cat349,cd4cat499,cd4cat500,agecat,_timecd4cat349,_timecd4cat499,_timecd4cat500,__timecd4cat349,__timecd4cat499,__timecd4cat500,___timecd4cat349,___timecd4cat499,___timecd4cat500
het_black_male,12.78518089081771,1.3587796985976253,-0.9894973736575196,-0.2198582788305771,1.25896085984553,5.474931197521166,8.815707158259617,12.32984904468714,-0.06589298674683224,-0.882698307309153,-1.069793567799717,-2.1284998459654196,1.8674428960150675,1.6378561424637914,4.419943750730753,-1.4603357061213091,-0.36059503988880287,-2.5745808669551677
het_black_female,11.620120562065186,1.6732258379910825,-1.4170735943535213,0.6009394340371397,0.4366799974557066,5.109893771739382,8.164964175198364,12.892697897506478,0.3635148568556736,-1.218687462115432,-1.3269861248992156,-2.54534145583876,2.2017560567267895,2.0754305628849457,4.835970260196414,-0.6683646543831068,-0.2093172826636535,-2.0158562693813273
het_hisp_male,13.14919442049757,1.4543888212511618,-1.631422857872309,1.084443441105707,0.3628756227803975,4.647653122053563,7.980753324762948,11.04748416983898,-0.1224227549201991,-0.8036887146130902,-1.1206161944403596,-0.7979407812961807,1.8214936953043155,1.8084248483772645,1.2314830267909718,-0.5637799838719368,-0.30347051876996844,-0.9656561288245533
het_hisp_female,12.543490869647757,1.4888363056311131,-1.7162121879432346,1.5207695941566026,0.1924958980640926,4.812741931197715,7.985965499393521,12.024480604528913,0.19408107023731477,-0.42001543518621415,-0.48163329643686253,-1.4104999798132432,0.31937855560520606,1.10354839002404,2.8575484445613784,0.3707027408536698,-0.8807153477290721,-1.682661492561904
het_white_male,13.647941105746513,1.513985230006662,-1.5089431789925878,0.8031448551864777,0.6481300055553111,5.173655092682479,8.561109408281622,12.822827542430913,-0.07095558633857792,-0.5173178493950996,-0.9149908300908878,-1.7462519797077072,1.138345724502311,2.198187973489761,3.502397971467518,-0.7737602272919774,-1.548384442315009,-1.5364456328337752
het_white_female,14.298653017553212,1.6355249759925587,-1.2273767949646657,0.8000585511118726,-0.24075938981441325,5.683383112173571,8.476296246060636,11.655111357216445,-0.142589338007309,-1.452415251185246,-0.9137412820539564,-1.800039102668253,2.220615186162206,1.7380555847302015,2.554265119288374,-0.7314313172769099,-0.8145443493509426,-0.26534584521604077
idu_black_male,12.801686084804269,1.161531429953214,-0.8988391701456463,0.10704363633078873,0.7816280642624466,5.069167826502464,8.324820386976931,12.289692026081575,-0.14856751066363136,-0.49779588887448933,-1.2018220963595314,-1.5821801969655251,1.0774226862740477,2.398926011429162,2.893891832032091,-0.6001533458189507,-1.5087664718868783,-1.5606385851114881
idu_black_female,13.454627067451025,1.2219950820604835,-0.40027706680721137,-0.3709023621311413,0.6431553965469958,5.880964905745982,8.042815388433493,13.880122575809205,-0.17062786219617093,-1.676725801089359,-0.3340719154531812,-2.498137753069358,2.6332426531552247,-1.6366759455162134,4.361171790352463,-0.31923526100698374,3.540634249817575,-2.6240020061786966
idu_hisp_male,13.596892525777376,1.2092457674898591,-1.6499137376896338,1.6781679844273467,0.06564586455063048,3.9785910947947345,6.730761903252287,11.279489718096695,-0.08477379173847856,-0.0677236168133459,0.12014775657704284,-0.9418903634865924,0.2711507583823078,-1.1728325905481898,0.022062534373030917,-0.8410203927129855,1.1329833156323417,1.554988162195229
idu_hisp_female,15.706541296365936,-0.01528691014655976,2.816707738723699,-5.169496379711306,1.628203277691136,6.984134254488743,8.755983206416328,10.571448779412997,-0.6422527392264757,0.7679901077891919,2.1753570804445275,-2.0483763094278866,-3.858604391575382,-7.574499441697927,4.966484342271805,5.4594002054199,14.822214843187941,-0.6276073513952558
idu_white_male,13.564930818179255,1.1294056412640021,-0.8393282179742606,0.021063516121874376,0.8134996745493788,4.816804179915298,7.448525750759052,12.278952570770883,-0.04938762730996327,-0.6277753569826108,-0.6133835116135373,-1.2968434322619962,1.2215155114754184,1.1005146774339447,2.875644319324767,-0.8579278180426448,-0.44357246767509945,-2.0486252833220684
idu_white_female,11.81824408411964,0.9125014599140993,-0.6806062879040988,-0.1526273899789863,0.787138512601021,3.8409122461291605,7.6663022912543255,9.59814772553723,0.6569327238602383,-0.576255570902132,-0.9149795749163382,0.6813144103351634,1.782799198945922,1.9461633354765484,-0.7297139359052376,-1.9481868721448092,-1.2135558251094622,-0.3100619508501748
msm_black_male,13.479379767192166,1.3468254293896578,-1.1004656850912484,0.3993506699791192,0.5696454224754175,5.284597975445545,8.813857001164298,13.27990095059974,-0.15754513417386246,-1.0432139850407265,-1.3907831643153639,-1.6511353671231974,2.1466033679585257,3.0921401038400513,2.3091319874621745,-1.0702534674852278,-2.0408546786575408,-0.41606354479834434
msm_hisp_male,14.940617611406719,1.248310534586584,-0.7583174707654743,-0.4522173890608859,1.2853802270260364,4.827244664204322,8.102543206512513,11.718679876008776,-0.22854459777506683,-0.7975337098504113,-1.2519653704266558,-1.7213457684076892,1.7127694603154489,3.070434143499944,2.9767425678750388,-1.1204695827399502,-2.15589082187875,-1.0385296908264652
msm_white_male,14.341193522080538,1.2470301262656762,-0.6571022575357022,-0.3857631067034492,0.8731271623717424,5.304477971900204,8.160184836937677,12.266571652608162,-0.08022684006949622,-0.7780211392292428,-1.162691773088747,-1.7429150370066941,1.5493975903302413,2.3827284292841155,3.3412916674453035,-0.802729140927835,-1.4243158299383616,-1.5486723305120969
