group,year,lower,upper
het_black_female,2006,6047.154941769765,6982.46899440299
het_black_female,2007,5806.2747077923705,6544.81680506991
het_black_female,2008,5549.728078978509,6151.516407424543
het_black_female,2009,5301.512646470292,5761.050867432405
het_black_female,2010,5070.9028369650105,5380.673887641681
het_black_female,2011,4854.578876900443,5083.102537293689
het_black_female,2012,4594.0846460538105,4831.626214815824
het_black_female,2013,4330.946116116236,4612.55024396514
het_black_female,2014,4134.812782782903,4421.3105357420745
het_black_female,2015,4005.684646053809,4251.814806885171
het_black_female,2016,3908.778818765809,4098.684107107687
het_black_female,2017,3749.7493756817657,4007.7405543083496
het_black_female,2018,3601.882073254248,4001.3617614921773
het_black_female,2019,3440.249181162314,4005.325432771825
het_black_female,2020,3283.2843624842762,4013.138416299186
het_black_female,2021,3104.9260148210415,4022.617333683324
het_black_female,2022,2903.503008422723,4032.9496728771114
het_black_female,2023,2689.615264062775,4043.773434533471
het_black_female,2024,2475.7060752016914,4054.904833018114
het_black_female,2025,2261.783894615784,4066.241161174884
het_black_female,2026,2047.8532523976148,4077.7206882233318
het_black_female,2027,1833.9167932922956,4089.304140594548
het_black_female,2028,1619.976164503457,4100.965367221207
het_black_female,2029,1406.0324452495927,4112.686293212121
het_black_female,2030,1192.086372046514,4124.45403146907
het_black_male,2006,3070.2243931892017,3972.2299166550415
het_black_male,2007,2945.987270648841,3573.6812140840507
het_black_male,2008,2820.285164527239,3247.1014903236332
het_black_male,2009,2664.414495965269,2975.6364752167688
het_black_male,2010,2520.072150822973,2750.101429256612
het_black_male,2011,2386.191052162108,2557.116324353377
het_black_male,2012,2239.8141466076345,2400.1362529995736
het_black_male,2013,2087.2880585909907,2266.8016648736675
het_black_male,2014,1967.4819979849303,2146.995604267607
het_black_male,2015,1880.395964789453,2042.365767513096
het_black_male,2016,1804.715984734404,1958.0860213230746
het_black_male,2017,1716.39866204214,1911.4590050141885
het_black_male,2018,1446.8660820817145,1897.0212792397015
het_black_male,2019,1013.7391955941603,1891.5045270841292
het_black_male,2020,556.7658557711547,1928.5732746636254
het_black_male,2021,94.94462145702094,1982.864074195151
het_black_male,2022,1.0,2038.888967463147
het_black_male,2023,1.0,2095.7253100958624
