group,1,2,3,4
het_black_female,3.7416573868,13.856406460999999,18.520259177,27.018512171999998
het_black_male,3.8729833462,13.601470509,18.761663039000002,26.814175356
het_hisp_female,3.7416573868,13.856406460999999,18.520259177,27.018512171999998
het_hisp_male,3.8729833462,13.601470509,18.761663039000002,26.814175356
het_white_female,3.7416573868,13.856406460999999,18.520259177,27.018512171999998
het_white_male,3.8729833462,13.601470509,18.761663039000002,26.814175356
idu_black_female,3.7416573868,13.856406460999999,18.520259177,27.018512171999998
idu_black_male,3.8729833462,13.601470509,18.761663039000002,26.814175356
idu_hisp_female,3.7416573868,13.856406460999999,18.520259177,27.018512171999998
idu_hisp_male,3.8729833462,13.601470509,18.761663039000002,26.814175356
idu_white_female,3.7416573868,13.856406460999999,18.520259177,27.018512171999998
idu_white_male,3.8729833462,13.601470509,18.761663039000002,26.814175356
msm_black_male,3.8729833462,13.601470509,18.761663039000002,26.814175356
msm_hisp_male,3.8729833462,13.601470509,18.761663039000002,26.814175356
msm_white_male,3.8729833462,13.601470509,18.761663039000002,26.814175356
