group,model,year,pred.fit,lower,upper
het_black_female,Poisson,2006,5953.196670313248,5766.815384842554,6139.577955783943
het_black_female,Poisson,2007,5724.274046881114,5565.758688252167,5882.789405510061
het_black_female,Poisson,2008,5504.154352433322,5371.258468481198,5637.050236385446
het_black_female,Poisson,2009,5292.499081506656,5182.934891320038,5402.063271693273
het_black_female,Poisson,2010,5088.982745435919,5000.306668555437,5177.658822316402
het_black_female,Poisson,2011,4893.29237180928,4822.690557719458,4963.894185899101
het_black_female,Poisson,2012,4705.127023172061,4649.022068928606,4761.231977415516
het_black_female,Poisson,2013,4524.197334237511,4477.690639402319,4570.704029072704
het_black_female,Poisson,2014,4350.2250668935885,4307.0236389885795,4393.426494798598
het_black_female,Poisson,2015,4182.942682321963,4136.921753064288,4228.9636115796375
het_black_female,Poisson,2016,4022.0929295700516,3969.199906006216,4074.985953133887
het_black_female,Poisson,2017,3867.428449944034,3805.754998583586,3929.1019013044825
het_black_female,Poisson,2018,3718.7113966149377,3647.652062831549,3789.7707303983266
het_black_female,Poisson,2019,3575.713068851768,3495.323612730296,3656.10252497324
het_black_female,Poisson,2020,3438.2135603197694,3348.8716027264336,3527.555517913105
het_black_female,Poisson,2021,3306.001420903384,3208.238392911152,3403.7644488956157
het_black_female,Poisson,2022,3178.8733315329146,3073.2895607893674,3284.4571022764617
het_black_female,Poisson,2023,3056.633791515345,2943.8538764515165,3169.4137065791733
het_black_female,Poisson,2024,2939.0948178888557,2819.743317468835,3058.4463183088765
het_black_female,Poisson,2025,2826.075656337873,2700.763528454694,2951.3877842210522
het_black_female,Poisson,2026,2717.402503224532,2586.7194959692233,2848.085510479841
het_black_female,Poisson,2027,2612.9082383094283,2477.4187123836173,2748.3977642352393
het_black_female,Poisson,2028,2512.4321677498856,2372.6729631536537,2652.1913723461175
het_black_female,Poisson,2029,2415.819776980923,2272.2993297685766,2559.3402241932695
het_black_female,Poisson,2030,2322.922493099186,2176.120730850137,2469.7242553482347
het_black_male,Poisson,2006,3170.8883221683946,3029.311686478614,3312.4649578581752
het_black_male,Poisson,2007,3011.577992581383,2892.780764799338,3130.375220363428
het_black_male,Poisson,2008,2860.271660150527,2762.0304852979502,2958.512835003104
het_black_male,Poisson,2009,2716.5671916893098,2636.6949461495856,2796.439437229034
het_black_male,Poisson,2010,2580.0826578040756,2516.3404645897094,2643.8248510184417
het_black_male,Poisson,2011,2450.4553178240235,2400.3934210033963,2500.5172146446507
het_black_male,Poisson,2012,2327.3406557302706,2288.0162860306727,2366.6650254298684
het_black_male,Poisson,2013,2210.4114645211357,2178.019570209491,2242.8033588327803
het_black_male,Poisson,2014,2099.3569765803686,2069.2903495469136,2129.4236036138236
