group,model,year,pred.fit,lower,upper
het_black_female,Poisson,2006,6201.259551385515,6047.154941769766,6355.364161001264
het_black_female,Poisson,2007,5936.1824145224555,5806.27470779237,6066.090121252541
het_black_female,Poisson,2008,5682.436183567425,5574.447322314227,5790.425044820624
het_black_female,Poisson,2009,5439.536511095151,5351.109797940122,5527.963224250179
het_black_female,Poisson,2010,5207.019753446936,5135.575321648574,5278.464185245299
het_black_female,Poisson,2011,4984.442085733563,4926.930633224005,5041.95353824312
het_black_female,Poisson,2012,4771.3786546680485,4723.933667646127,4818.82364168997
het_black_female,Poisson,2013,4567.422767611791,4525.189583080109,4609.655952143473
het_black_female,Poisson,2014,4372.1851162847825,4330.021290943638,4414.348941625927
het_black_female,Poisson,2015,4185.293033659286,4139.183152234797,4231.402915083776
het_black_female,Poisson,2016,4006.3897826177395,3954.0560361996354,4058.7235290358435
het_black_female,Poisson,2017,3835.133875018057,3775.626078836425,3894.641671199689
het_black_female,Poisson,2018,3671.1984198654245,3604.329310332032,3738.067529398817
het_black_female,Poisson,2019,3514.270499346973,3440.249181162314,3588.2918175316318
het_black_female,Poisson,2020,3364.0505715387458,3283.2843624842762,3444.8167805932153
het_black_female,Poisson,2021,3220.2518986438963,3133.242411010305,3307.2613862774874
het_black_female,Poisson,2022,3082.5999996712694,2989.887704333752,3175.312295008787
het_black_female,Poisson,2023,2950.832126510024,2852.9659879918845,3048.6982650281634
het_black_female,Poisson,2024,2824.696762399389,2722.217260311575,2927.1762644872033
het_black_female,Poisson,2025,2703.9531418367096,2597.382715532122,2810.5235681412973
het_black_female,Poisson,2026,2588.3707910077064,2478.2085512221433,2698.5330307932695
het_black_female,Poisson,2027,2477.7290878609992,2364.448058319725,2591.0101174022734
het_black_female,Poisson,2028,2371.816840987576,2255.862737715721,2487.7709442594314
het_black_female,Poisson,2029,2270.4318865016603,2152.2228484451816,2388.640924558139
het_black_female,Poisson,2030,2173.3807021528305,2053.307615971294,2293.453788334367
het_black_male,Poisson,2006,3269.2577233462625,3153.8273669887226,3384.6880797038025
het_black_male,Poisson,2007,3094.557876263636,2998.4661624575683,3190.6495900697037
het_black_male,Poisson,2008,2929.1934928101828,2850.327168155731,3008.0598174646343
het_black_male,Poisson,2009,2772.66571232506,2708.910266113932,2836.4211585361886
het_black_male,Poisson,2010,2624.5023318441126,2573.6328547546573,2675.371808933568
het_black_male,Poisson,2011,2484.25638158851,2443.758343924563,2524.754419252457
het_black_male,Poisson,2012,2351.5047765748404,2318.3374183951637,2384.672134754517
het_black_male,Poisson,2013,2225.8470402795497,2196.3800138732604,2255.314066685839
het_black_male,Poisson,2014,2106.904096506937,2077.505477615154,2136.30271539872
het_black_male,Poisson,2015,1994.3171258166067,1962.329471377985,2026.3047802552283
het_black_male,Poisson,2016,1887.7464830599006,1851.78260228948,1923.710363830321
het_black_male,Poisson,2017,1786.870672760132,1746.4479064138284,1827.2934391064357
het_black_male,Poisson,2018,1691.3853792458274,1646.517633381444,1736.2531251102107
het_black_male,Poisson,2019,1601.002548610624,1551.9493725851164,1650.0557246361316
het_black_male,Poisson,2020,1515.4495197307783,1462.5837522939999,1568.3152871675568
het_black_male,Poisson,2021,1434.468201718498,1378.2078544712012,1490.7285489657947
het_black_male,Poisson,2022,1357.8142953300448,1298.5870643444653,1417.0415263156244
het_black_male,Poisson,2023,1285.256555979381,1223.4810823098362,1347.0320296489256
het_black_male,Poisson,2024,1216.5760961342885,1152.6521040051211,1280.5000882634558
het_black_male,Poisson,2025,1151.565724990622,1085.869032184799,1217.2624177964449
het_black_male,Poisson,2026,1090.029323432323,1022.9096077529871,1157.149039111659
het_black_male,Poisson,2027,1031.7812523918142,963.561412307375,1100.0010924762535
het_black_male,Poisson,2028,976.6457928260651,907.6222411398393,1045.669344512291
het_black_male,Poisson,2029,924.4566156185962,854.9001179237574,994.0131133134349
het_black_male,Poisson,2030,875.0562798085016,805.2131036205913,944.8994559964119
het_hisp_female,Poisson,2006,1300.4976195046556,1233.3792357821578,1367.6160032271534
het_hisp_female,Poisson,2007,1267.6090752156122,1209.879485597116,1325.3386648341084
het_hisp_female,Poisson,2008,1235.5522558980265,1186.5734098278654,1284.5311019681876
het_hisp_female,Poisson,2009,1204.3061278928037,1163.3667045008215,1245.245551284786
het_hisp_female,Poisson,2010,1173.8501894652845,1140.1009767906849,1207.5994021398842
het_hisp_female,Poisson,2011,1144.1644573532674,1116.5038277004182,1171.8250870061165
het_hisp_female,Poisson,2012,1115.2294536552636,1092.1273012603601,1138.331606050167
het_hisp_female,Poisson,2013,1087.0261930503289,1066.3836792744837,1107.668706826174
het_hisp_female,Poisson,2014,1059.5361703411036,1038.9106965027788,1080.1616441794283
het_hisp_female,Poisson,2015,1032.741348311841,1010.0185835176472,1055.4641131060348
het_hisp_female,Poisson,2016,1006.6241458935715,980.4500858691151,1032.7982059180279
het_hisp_female,Poisson,2017,981.1674266284864,950.8476824082039,1011.4871708487689
het_hisp_female,Poisson,2018,956.3544874260841,921.6009501283426,991.1080247238257
het_hisp_female,Poisson,2019,932.1690476036646,892.9176678987704,971.4204273085587
het_hisp_female,Poisson,2020,908.5952382039474,864.9036128596371,952.2868635482577
het_hisp_female,Poisson,2021,885.6175915829051,837.6100683850101,933.6251147808001
het_hisp_female,Poisson,2022,863.2210312608458,811.0587890158683,915.3832735058234
het_hisp_female,Poisson,2023,841.3908620301866,785.2550188967481,897.526705163625
het_hisp_female,Poisson,2024,820.1127603133923,760.1944757072816,880.031044919503
het_hisp_female,Poisson,2025,799.3727647647268,735.8672431692673,862.8782863601862
het_hisp_female,Poisson,2026,779.157267109734,712.2600260663082,846.0545081531598
het_hisp_female,Poisson,2027,759.453003216326,689.3575041462481,829.548502286404
het_hisp_female,Poisson,2028,740.2470443917025,667.1431711271255,813.3509176562795
het_hisp_female,Poisson,2029,721.5267888993602,645.5998689856001,797.4537088131203
het_hisp_female,Poisson,2030,703.2799536906344,624.7101360543394,781.8497713269295
het_hisp_male,Poisson,2006,858.119585173294,801.0538859471602,915.1852843994278
het_hisp_male,Poisson,2007,822.7861293370561,774.5925973951048,870.9796612790074
het_hisp_male,Poisson,2008,788.9075442704666,748.7710732406962,829.044015300237
het_hisp_male,Poisson,2009,756.4239250220768,723.496642533657,789.3512075104966
het_hisp_male,Poisson,2010,725.2778332534758,698.6255502769268,751.9301162300249
het_hisp_male,Poisson,2011,695.4141956754,673.924747449411,716.903643901389
het_hisp_male,Poisson,2012,666.7802066657825,649.0328648348412,684.5275484967239
het_hisp_male,Poisson,2013,639.3252348975377,623.5225556972512,655.1279140978243
het_hisp_male,Poisson,2014,613.0007338110339,597.2226356309554,628.7788319911124
het_hisp_male,Poisson,2015,587.7601557728115,570.4931811937303,605.0271303518927
het_hisp_male,Poisson,2016,563.5588697689441,543.9344898127371,583.1832497251511
het_hisp_male,Poisson,2017,540.35408248736735,518.0018418884238,562.7063230863109
het_hisp_male,Poisson,2018,518.104762649687,492.9422818297307,543.2672434696434
het_hisp_male,Poisson,2019,496.7715684586579,468.86708267111953,524.6760542461963
het_hisp_male,Poisson,2020,476.31677803304615,445.8145651992686,506.8189908668237
het_hisp_male,Poisson,2021,456.7042227068598,423.78540300011036,489.62304241360926
het_hisp_male,Poisson,2022,437.89922307504577,402.76079055383514,473.0376555962564
het_hisp_male,Poisson,2023,419.8685276724692,382.7118185568375,457.0252367881009
het_hisp_male,Poisson,2024,402.58025417787763,363.60445753620706,441.5560508195482
het_hisp_male,Poisson,2025,386.0038330387856,345.40230048989616,426.60536558767507
het_hisp_male,Poisson,2026,370.1099534176368,328.0681202624364,412.1517865728372
het_hisp_male,Poisson,2027,354.8705113636564,311.564775465224,398.17624726208885
het_hisp_male,Poisson,2028,340.25856011875067,295.85574501947383,384.6613752180275
het_hisp_male,Poisson,2029,326.2482624695788,280.90544390373725,371.5910810354203
het_hisp_male,Poisson,2030,312.8148450615723,266.6794062503373,358.95028387280735
het_white_female,Poisson,2006,1091.6368821260658,1032.4701197749207,1150.8036444772108
het_white_female,Poisson,2007,1078.8818970734728,1027.2037835957592,1130.5600105511865
het_white_female,Poisson,2008,1066.2759447682663,1021.7430924616742,1110.8087970748584
het_white_female,Poisson,2009,1053.8172838709074,1016.0058038619298,1091.628763879885
het_white_female,Poisson,2010,1041.5041933881462,1009.8503148746568,1073.1580719016356
het_white_female,Poisson,2011,1029.3349724352904,1003.0278712867411,1055.6420735838399
het_white_female,Poisson,2012,1017.3079400012513,995.1165758186438,1039.4993041838586
het_white_female,Poisson,2013,1005.4214347163357,985.5229632233666,1025.319906209305
het_white_female,Poisson,2014,993.67381462275,973.7823582730337,1013.5652709724664
het_white_female,Poisson,2015,982.0634569477859,960.039320235835,1004.0875936597367
het_white_female,Poisson,2016,970.5887578796571,944.9397310776411,996.2377846816731
het_white_female,Poisson,2017,959.248132345955,929.112830809587,989.3834338823231
het_white_female,Poisson,2018,948.0400137946916,912.9662352123437,983.1137923770395
het_white_female,Poisson,2019,936.9628539779029,896.7315518354367,977.1941561203691
het_white_female,Poisson,2020,926.0151227377789,880.5382919490836,971.4919535264743
het_white_female,Poisson,2021,915.1953077952937,864.4605674728319,965.9300481177555
het_white_female,Poisson,2022,904.5019145413049,848.5420929975496,960.4617360850602
het_white_female,Poisson,2023,893.9334658300934,832.8093058834538,955.057625776733
het_white_female,Poisson,2024,883.4885017753165,817.2784193043933,949.6985842462398
het_white_female,Poisson,2025,873.1655795483441,801.9593573594796,944.3718017372087
het_white_female,Poisson,2026,862.9632731789522,786.8580384064644,939.0685079514401
het_white_female,Poisson,2027,852.8801733583443,771.9777503458818,933.7825963708069
het_white_female,Poisson,2028,842.9148872444748,757.320007760415,928.5097667285346
het_white_female,Poisson,2029,833.066038269647,742.8851028106598,923.2469737286343
het_white_female,Poisson,2030,823.3322659503593,728.672469183927,917.9920627167917
het_white_male,Poisson,2006,501.10072866548535,460.7144576012743,541.4869997296963
het_white_male,Poisson,2007,493.92369765758406,458.7532392414933,529.0941560736748
het_white_male,Poisson,2008,486.8494599028987,456.6325526083738,517.0663671974235
het_white_male,Poisson,2009,479.87654314181276,454.2976055905698,505.45548069305573
het_white_male,Poisson,2010,473.00349620119977,451.65345483085866,494.35353757154087
het_white_male,Poisson,2011,466.22888869240103,448.53288806219405,483.924889322608
het_white_male,Poisson,2012,459.5513107135463,444.6529295072259,474.44969191986667
het_white_male,Poisson,2013,452.9693725561277,439.6199563958986,466.31878871635683
het_white_male,Poisson,2014,446.4817044157864,433.1381264468431,459.8252823847297
het_white_male,Poisson,2015,440.0869561072246,425.3263513538516,454.8475608605976
het_white_male,Poisson,2016,433.7837967832178,416.62963617886726,450.9379573875683
het_white_male,Poisson,2017,427.5709146576415,407.4711655935289,447.67066372175407
het_white_male,Poisson,2018,421.4470167324738,398.12226249211824,444.77177097282936
het_white_male,Poisson,2019,415.41082852869323,388.73614154619895,442.0855155111875
het_white_male,Poisson,2020,409.4610938210459,379.3979431721157,439.5242444699761
het_white_male,Poisson,2021,403.59657437660246,370.1559544014939,437.03719435171104
het_white_male,Poisson,2022,397.81604969706785,361.038261766182,434.5938376279537
het_white_male,Poisson,2023,392.1183167647683,352.0614798429737,432.17515368656285
het_white_male,Poisson,2024,386.5021897922899,343.2354424570301,429.76893712754975
het_white_male,Poisson,2025,380.9664999756953,334.5658203696239,427.36717958176666
het_white_male,Poisson,2026,375.5100952512822,326.0556405036139,424.96454999895053
het_white_male,Poisson,2027,370.1318400558133,317.7062011551109,422.55747895651575
het_white_male,Poisson,2028,364.83061509019274,309.51764243039844,420.14358774998703
het_white_male,Poisson,2029,359.60531708652144,301.4893128335435,417.72132133949935
het_white_male,Poisson,2030,354.45485857848826,293.62001136995735,415.28970578701916
idu_black_female,Poisson,2006,1132.0132112392205,1050.4583717367407,1213.5680507417003
idu_black_female,Poisson,2007,1002.942276537331,939.9428427810526,1065.9417102936095
idu_black_female,Poisson,2008,888.5878716598187,840.6734032165749,936.5023401030625
idu_black_female,Poisson,2009,787.2720336279085,751.400766651961,823.143300603856
idu_black_female,Poisson,2010,697.5081190055923,670.9372405115424,724.0789974996422
idu_black_female,Poisson,2011,617.9789898502405,598.1187726715467,637.8392070289343
idu_black_female,Poisson,2012,547.5176868776516,531.82913511087,563.2062386444333
idu_black_female,Poisson,2013,485.0903062521609,471.234449008175,498.94616349614677
idu_black_female,Poisson,2014,429.7808287468131,416.0730765949916,443.48858089863455
idu_black_female,Poisson,2015,380.777678666444,366.402318952357,395.153038380531
idu_black_female,Poisson,2016,337.36181530801923,322.12504641770647,352.598584198332
idu_black_female,Poisson,2017,298.896182219811,282.90878329611184,314.8835811435102
idu_black_female,Poisson,2018,264.8163594448587,248.30253047959653,281.33018841012085
idu_black_female,Poisson,2019,234.6222815855709,217.8291128819241,251.41545028921772
idu_black_female,Poisson,2020,207.87090016574749,191.02960270444783,224.71219762704715
idu_black_female,Poisson,2021,184.16968262223037,167.48081350184003,200.8585517426207
idu_black_female,Poisson,2022,163.1708525345632,146.80044174133752,179.5412633277889
idu_black_female,Poisson,2023,144.56628657752367,128.64684503584775,160.4857281191996
idu_black_female,Poisson,2024,128.08299331761924,112.71658905069151,143.44939758454697
idu_black_female,Poisson,2025,113.47910751241426,98.74116876263098,128.21704626219753
idu_black_female,Poisson,2026,100.54034113553645,86.48354297483232,114.59713929624058
idu_black_female,Poisson,2027,89.07683905201863,75.7347717906218,102.41890631341545
idu_black_female,Poisson,2028,78.92039320617224,66.31088274299512,91.52990366934935
idu_black_female,Poisson,2029,69.92197444477786,58.05001228764269,81.79393660191303
idu_black_female,Poisson,2030,61.949545759151924,50.8098308698247,73.08926064847915
idu_black_male,Poisson,2006,2063.8202388940394,1957.599213854972,2170.0412639331066
idu_black_male,Poisson,2007,1852.5088589892025,1769.226780670009,1935.790937308396
idu_black_male,Poisson,2008,1662.8333262554422,1598.524906454033,1727.1417460568514
idu_black_male,Poisson,2009,1492.5783795789416,1443.6914748173617,1541.4652843405215
idu_black_male,Poisson,2010,1339.755575024041,1303.006663897075,1376.504486151007
idu_black_male,Poisson,2011,1202.5800623712682,1174.7778137550795,1230.382310987457
idu_black_male,Poisson,2012,1079.449739469747,1057.3518765532522,1101.547602386242
idu_black_male,Poisson,2013,968.9265409437439,949.3989818065036,988.4541000809843
idu_black_male,Poisson,2014,869.7196427194286,850.3545200309887,889.0847654078685
idu_black_male,Poisson,2015,780.6703862144777,760.1955769006889,801.1451955282665
idu_black_male,Poisson,2016,700.7387461166829,678.7746337239978,722.7028585093681
idu_black_male,Poisson,2017,628.991183705893,605.6289840753246,652.3533833364614
idu_black_male,Poisson,2018,564.5897438556561,540.1152886932178,589.0641990180944
idu_black_male,Poisson,2019,506.7822683760136,481.53843550989427,532.0261012421329
idu_black_male,Poisson,2020,454.8936113972325,429.21800711987294,480.5692156745921
idu_black_male,Poisson,2021,408.317754196726,382.51636569982486,434.11914269362717
idu_black_male,Poisson,2022,366.5107273767976,340.8484387952428,392.1730159583524
idu_black_male,Poisson,2023,328.984257729703,303.68328710026793,354.2852283591381
idu_black_male,Poisson,2024,295.3000655904276,270.5420699516398,320.0580612292154
idu_black_male,Poisson,2025,265.0647460747485,240.99451678756705,289.1349753619299
idu_black_male,Poisson,2026,237.92517441942076,214.65488544341272,261.1954633954288
idu_black_male,Poisson,2027,213.56438176259087,191.17786996266906,235.95089356251268
idu_black_male,Poisson,2028,191.697853196634,170.25467449176153,213.14103190150644
idu_black_male,Poisson,2029,172.07020485770548,151.609349228209,192.53106048720196
idu_black_male,Poisson,2030,154.4522012429747,134.99542388665176,173.90897859929763
idu_hisp_female,Poisson,2006,275.23822450040626,240.78925841668124,309.68719058413126
idu_hisp_female,Poisson,2007,257.8949208709422,229.54248151465399,286.24736022723044
idu_hisp_female,Poisson,2008,241.64445302520608,218.6425491740177,264.64635687639446
idu_hisp_female,Poisson,2009,226.41795922406718,208.0390637074001,244.79685474073426
idu_hisp_female,Poisson,2010,212.15091684245033,197.65248274885448,226.64935093604618
idu_hisp_female,Poisson,2011,198.7828689532213,187.35465300977552,210.2110848966671
idu_hisp_female,Poisson,2012,186.25716813950098,176.9565249228911,195.55781135611085
idu_hisp_female,Poisson,2013,174.52073644993112,166.26996171964274,182.7715111802195
idu_hisp_female,Poisson,2014,163.5238404795982,155.29849891131894,171.74918204787744
idu_hisp_female,Poisson,2015,153.2198806235807,144.31384953234257,162.12591171481884
idu_hisp_female,Poisson,2016,143.5651936100003,133.63894622053414,153.49144099946648
idu_hisp_female,Poisson,2017,134.51886747590132,123.478673491455,145.55906146034764
idu_hisp_female,Poisson,2018,126.04256820183834,113.9238145103818,138.16132189329488
idu_hisp_female,Poisson,2019,118.10037727058311,104.99892061098694,131.20183393017928
idu_hisp_female,Poisson,2020,110.65863946154215,96.69543636169747,124.62184256138683
idu_hisp_female,Poisson,2021,103.68582023598401,88.98911470045739,118.38252577151063
idu_hisp_female,Poisson,2022,97.15237210868436,81.84869509038876,112.45604912697996
idu_hisp_female,Poisson,2023,91.03060943977461,75.24026181469851,106.8209570648507
idu_hisp_female,Poisson,2024,85.29459111617568,69.12947788242147,101.4597043499299
idu_hisp_female,Poisson,2025,79.92001062553369,63.482745020075214,96.35727623099217
idu_hisp_female,Poisson,2026,74.88409305679801,58.267801260318905,91.50038485327711
idu_hisp_female,Poisson,2027,70.16549859100944,53.45401394838787,86.87698323363101
idu_hisp_female,Poisson,2028,65.74423207330302,49.01250318198012,82.47596096462593
idu_hisp_female,Poisson,2029,61.601558282978665,44.91616904245967,78.28694752349766
