group,model,year,pred.fit,lower,upper
het_black_female,Poisson,2006,5453.141312115663,5167.942187286125,5738.340436945201
het_black_female,Poisson,2007,5291.135151597428,5043.982116165205,5538.2881870296515
het_black_female,Poisson,2008,5133.941996014047,4922.603855189059,5345.280136839035
het_black_female,Poisson,2009,4981.418856874075,4803.669407565003,5159.168306183146
het_black_female,Poisson,2010,4833.426993699271,4686.9833939487535,4979.870593449789
het_black_female,Poisson,2011,4689.83178782136,4572.234850399491,4807.42872524323
het_black_female,Poisson,2012,4550.502619928124,4458.86159185892,4642.143647997327
het_black_female,Poisson,2013,4415.3127512473,4345.72101548385,4484.90448701075
het_black_female,Poisson,2014,4284.139208260675,4230.404022926311,4337.87439359504
het_black_female,Poisson,2015,4156.862670842864,4109.056471410369,4204.668870275358
het_black_female,Poisson,2016,4033.367363723535,3980.279271131161,4086.4554563159095
het_black_female,Poisson,2017,3913.540951173987,3848.023661533517,3979.0582408144573
het_black_female,Poisson,2018,3797.274434822746,3716.4244733106075,3878.1243963348848
het_black_female,Poisson,2019,3684.462054506647,3587.5084099863407,3781.415699026953
het_black_female,Poisson,2020,3575.001192067679,3462.0864040502356,3687.915980085122
het_black_female,Poisson,2021,3468.792278007752,3340.4576706654375,3597.1268853500665
het_black_female,Poisson,2022,3365.7387009168915,3222.7046670467707,3508.7727347870123
het_black_female,Poisson,2023,3265.7467195919567,3108.8116473614627,3422.6817918224506
het_black_female,Poisson,2024,3168.7253777663273,2998.715549845554,3338.7352056871005
het_black_female,Poisson,2025,3074.5864213728705,2892.329644982087,3256.843197763654
het_black_female,Poisson,2026,2983.2442182648083,2789.5553446094054,3176.933091920211
het_black_female,Poisson,2027,2894.6156803218028,2690.2884652557987,3098.942895387807
het_black_female,Poisson,2028,2808.6201878699517,2594.422715456471,3022.8176602834324
het_black_female,Poisson,2029,2725.1795163473057,2501.8517116908906,2948.507321003721
het_black_female,Poisson,2030,2644.217765147944,2412.4701753271347,2875.9653549687537
het_black_male,Poisson,2006,2914.622005114539,2695.0235815102733,3134.220428718805
het_black_male,Poisson,2007,2792.3735191254827,2604.587275326743,2980.1597629242224
het_black_male,Poisson,2008,2675.2525221557203,2516.8256285002344,2833.679415811206
het_black_male,Poisson,2009,2563.043951062058,2431.60374658563,2694.4841555384864
het_black_male,Poisson,2010,2455.541763131369,2348.747000918697,2562.336525344041
het_black_male,Poisson,2011,2352.548557734942,2267.9996435169314,2437.097471952952
het_black_male,Poisson,2012,2253.8752138522136,2188.928326224672,2318.822101479755
het_black_male,Poisson,2013,2159.3405427977195,2110.689482512476,2207.991603082963
het_black_male,Poisson,2014,2068.7709555138154,2031.563016908153,2105.978894119478
het_black_male,Poisson,2015,1982.0001438181698,1948.9591311874135,2015.0411564489261
het_black_male,Poisson,2016,1898.8687750208835,1862.29855156292,1935.438998478847
het_black_male,Poisson,2017,1819.2241993500584,1774.570479998748,1863.8779187013688
het_black_male,Poisson,2018,1742.9201696491443,1688.5638023973054,1797.2765369009833
het_black_male,Poisson,2019,1669.8165728309273,1605.5482782074482,1734.0848674544063
het_black_male,Poisson,2020,1599.7791725952168,1525.9699426158452,1673.5884025745884
het_black_male,Poisson,2021,1532.6793629377487,1449.9359805124893,1615.422745363008
