group,1,2,3,4
het_black_female,8.4852813742,20.024984395,25.317977801999998,33.896902513
het_black_male,7.211102550900001,18.041618553,23.032585613000002,31.176914535999998
het_hisp_female,10.198039027,21.09502311,26.296387585,34.655446902
het_hisp_male,8.366600265299999,18.439088915,23.738154940999998,31.843366656
het_white_female,10.198039027,21.09502311,26.296387585,34.655446902
het_white_male,8.366600265299999,18.439088915,23.738154940999998,31.843366656
idu_black_female,9.1104335791,19.104973175,25.099800796,34.197953155
idu_black_male,8.8881944173,18.547236991,23.537204592,31.567388235
idu_hisp_female,9.1104335791,19.104973175,25.099800796,34.197953155
idu_hisp_male,9.3005376189,18.220867158,23.162469644,31.024184115
idu_white_female,9.1104335791,19.104973175,25.099800796,34.197953155
idu_white_male,10.440306509,19.570385791,24.657656011999997,32.9317476
msm_black_male,8.4557672626,19.261360284000002,24.207436874000003,31.749015733
msm_hisp_male,11.26942767,20.0748599,24.474476500999998,31.622776602
msm_white_male,12.449899598,21.354156504000002,25.729360660999998,33.03028913
