group,intercept,age,_age,__age,___age,year,sqrtcd4n,haart_period
het_black_male,219.21339864093073,-0.020800346893921216,0.043437606853671706,-0.1777689428688625,0.1879402318499489,-0.10994622857254292,0.0021929953705754055,-0.1340176982624525
het_black_female,129.47127195488548,-0.007626318241301693,-0.017985851743513345,0.006950666252761717,0.049808685336184114,-0.06556016915142279,0.0035410523865904934,-0.2361839383542567
het_hisp_male,152.5417489608087,0.02170648094168401,-0.0850601751026452,0.11759726940812351,-0.01448046481398152,-0.07759576691583965,0.024898264797319037,-0.17904592602035943
het_hisp_female,220.3746350005247,-0.0028209343682008368,0.05392773903291732,-0.18368702442750642,0.16681004350749784,-0.11083183219758197,-0.013809468599119813,-0.10341941871859596
het_white_male,151.5696086853899,-0.024339705283136125,0.013812611742723793,-0.07718291408325594,0.041784536545614336,-0.0761240973374135,-0.005860967356129648,-0.2373380529005216
het_white_female,83.69981509905064,-0.014040664144944346,-0.05133477488236067,0.14797327514678796,-0.11298643408806743,-0.04249019051173848,0.0015481632818416821,-0.4089394789734609
idu_black_male,14.010515481583752,-0.02662289991758582,8.443529209271357e-5,0.009215591223170262,0.022249454887390458,-0.0079472281204894,-0.0021077018011544007,0.23503253884129108
idu_black_female,140.85472580106762,-0.0199061161826956,-0.020675449181860785,0.06851973048026254,0.0819227359714269,-0.07106457038944992,0.013608948893080832,0.22342081414397047
idu_hisp_male,106.0195520910756,-0.0064307693135186444,5.107760705585908e-4,-0.0939528871497261,0.024705629558453537,-0.053730529902792624,-0.006440593646089982,-0.2263077083842424
idu_hisp_female,1.662096330859358,-0.0012869017384854187,-0.019900246470493148,-0.269075809335398,0.391710964269489,-0.0015328516418991731,-0.022578112742488783,-0.3536353438921308
idu_white_male,32.98475843870219,-0.021878321370222935,-0.024764628019995415,-0.030565407432632575,0.1129205534778098,-0.017397918808924547,0.005381305010963012,-0.14846783559432375
idu_white_female,133.52848390928003,-0.005920645683839869,-0.030099352663687753,-0.04332214562469463,0.23616058510506838,-0.06765248529308333,0.0029939747061435056,-0.4086817132591576
msm_black_male,116.39882103883237,0.0745328234252761,-0.19016444151771855,0.2090101356701713,4.6857120511717366e-4,-0.060045260068355553,0.003912872625550835,-0.26162687646350397
msm_hisp_male,95.79858720707352,0.07582762870477221,-0.18203618036423014,0.2698433808132419,-0.10364244704716351,-0.05008151041179669,0.020198392955995324,-0.3474839048144122
msm_white_male,58.197976411561015,0.005571755684766035,-0.05947034737415594,0.09283589848501136,0.0033296002873749314,-0.030221988869088733,0.004920355902222146,-0.2782966573815077
