group,proportion
het_black_male,0.050610820244
het_black_female,0.055483028721000006
het_hisp_male,0.050610820244
het_hisp_female,0.055483028721000006
het_white_male,0.050610820244
het_white_female,0.055483028721000006
idu_black_male,0.07645631067999999
idu_black_female,0.055483028721000006
idu_hisp_male,0.049603174603
idu_hisp_female,0.055483028721000006
idu_white_male,0.049603174603
idu_white_female,0.055483028721000006
msm_black_male,0.02740434333
msm_hisp_male,0.016756756757
msm_white_male,0.016756756757
