group,proportion
het_black_female,0.013791984422999998
het_black_male,0.013791984422999998
het_hisp_female,0.013791984422999998
het_hisp_male,0.013791984422999998
het_white_female,0.013791984422999998
het_white_male,0.013791984422999998
idu_black_female,0.013791984422999998
idu_black_male,0.013791984422999998
idu_hisp_female,0.013791984422999998
idu_hisp_male,0.013791984422999998
idu_white_female,0.013791984422999998
idu_white_male,0.013791984422999998
msm_black_male,0.013791984422999998
msm_hisp_male,0.013791984422999998
msm_white_male,0.018274415818
