group,res_var
het_black_female,0.0823196620638997
het_black_male,0.0574398892511199
het_hisp_female,0.0629283235984249
het_hisp_male,0.048523931706767
het_white_female,0.0833882477220594
het_white_male,0.0411798889746557
idu_black_female,0.083641881072737
idu_black_male,0.0491972761510479
idu_hisp_female,0.106455941665703
idu_hisp_male,0.0454293215626852
idu_white_female,0.106455941665703
idu_white_male,0.0474696223704799
msm_black_male,0.0427774134346221
msm_hisp_male,0.035792548090677
msm_white_male,0.0350431830716281
