group,parameter,coeff
het_black_female,age,0.0006778177729209
het_black_female,age',0.0001283431388392
het_black_female,age'',-0.0094900351066703
het_black_female,h1yy,0.0031172420342095
het_black_female,intercept,-5.41889270087935
het_black_female,pre_sqrt,0.844344888002036
het_black_female,pre_sqrt',0.371897985180379
het_black_female,pre_sqrt'',-1.16462721257966
het_black_female,sqrtcd4,-0.0315883143306533
het_black_female,sqrtcd4',0.0038733787196616
het_black_female,sqrtcd4'',0.0716144596180892
het_black_female,sqrtcd4_post,0.0286874794266724
het_black_female,sqrtcd4_post',-0.0283773508372862
het_black_female,sqrtcd4_post'',0.0583668766658859
het_black_male,age,0.0042035014513636
het_black_male,age',-0.010849495609167
het_black_male,age'',0.0341505176863002
het_black_male,h1yy,0.0003162887082106
het_black_male,intercept,-0.0947654067909229
het_black_male,pre_sqrt,0.867637738988303
het_black_male,pre_sqrt',0.0816415693826377
het_black_male,pre_sqrt'',-0.122982110598294
het_black_male,sqrtcd4,-0.0212994408535268
het_black_male,sqrtcd4',-0.0102826482489224
het_black_male,sqrtcd4'',0.0652461027564321
het_black_male,sqrtcd4_post,0.026867867455236
het_black_male,sqrtcd4_post',-0.0284494413932492
het_black_male,sqrtcd4_post'',0.0748567540172707
het_hisp_female,age,0.0050535974128387
het_hisp_female,age',-0.0251287026455095
het_hisp_female,age'',0.0734632266441763
het_hisp_female,h1yy,0.0004939493038545
het_hisp_female,intercept,0.156782433692636
het_hisp_female,pre_sqrt,0.736236028294539
het_hisp_female,pre_sqrt',0.536792441430617
het_hisp_female,pre_sqrt'',-1.49055338114157
het_hisp_female,sqrtcd4,-0.0362325259032556
het_hisp_female,sqrtcd4',0.0145495931439855
het_hisp_female,sqrtcd4'',0.0295971847796029
het_hisp_female,sqrtcd4_post,0.0342491281216513
het_hisp_female,sqrtcd4_post',-0.0264679983211913
het_hisp_female,sqrtcd4_post'',-1.15157336207495e-05
het_hisp_male,age,-0.0016824193040945
het_hisp_male,age',0.0075170919854318
het_hisp_male,age'',-0.0198116612477332
het_hisp_male,h1yy,0.0089178457090815
het_hisp_male,intercept,-17.4568775127939
het_hisp_male,pre_sqrt,0.918676337724536
het_hisp_male,pre_sqrt',0.0065436346380481
het_hisp_male,pre_sqrt'',0.0468982007125476
het_hisp_male,sqrtcd4,-0.0141245022736255
het_hisp_male,sqrtcd4',-0.0448236632882067
het_hisp_male,sqrtcd4'',0.117941574555425
het_hisp_male,sqrtcd4_post,0.0290187240715491
het_hisp_male,sqrtcd4_post',-0.0461158301729036
het_hisp_male,sqrtcd4_post'',0.119278892365657
het_white_female,age,0.0056763044292016
het_white_female,age',-0.0140640987508487
het_white_female,age'',0.0359414731056469
het_white_female,h1yy,0.002019674236096
het_white_female,intercept,-2.93569924580205
het_white_female,pre_sqrt,0.792767556647995
het_white_female,pre_sqrt',0.423138042887728
het_white_female,pre_sqrt'',-0.852680230112474
het_white_female,sqrtcd4,-0.0414957668981859
het_white_female,sqrtcd4',0.0328665193526569
het_white_female,sqrtcd4'',-0.0689235018164246
het_white_female,sqrtcd4_post,0.0173603122308934
het_white_female,sqrtcd4_post',-0.0080720086602508
het_white_female,sqrtcd4_post'',-0.0061987156050676
het_white_male,age,0.0050404377183701
het_white_male,age',-0.0056645831463408
het_white_male,age'',0.0060130370442529
het_white_male,h1yy,0.0090555739311399
het_white_male,intercept,-16.4761816903027
het_white_male,pre_sqrt,0.617115472783063
het_white_male,pre_sqrt',0.74191011258911
het_white_male,pre_sqrt'',-1.68968622186229
het_white_male,sqrtcd4,-0.0292001351961169
het_white_male,sqrtcd4',0.0250949945422132
het_white_male,sqrtcd4'',-0.0309131346177923
het_white_male,sqrtcd4_post,0.0222063991405674
het_white_male,sqrtcd4_post',-0.0332617584247689
het_white_male,sqrtcd4_post'',0.0787727122027268
idu_black_female,age,-0.0102183166902365
idu_black_female,age',0.0129790269505674
idu_black_female,age'',-0.0341689180135169
idu_black_female,h1yy,-0.0045716993557154
idu_black_female,intercept,11.7300459946453
idu_black_female,pre_sqrt,0.51898696824684
idu_black_female,pre_sqrt',1.56133913206338
idu_black_female,pre_sqrt'',-4.11493716390484
