group,res_var
het_black_female,0.0090919456005762
het_black_male,0.0064260133837476
het_hisp_female,0.0068179835790207
het_hisp_male,0.0052448596326977
het_white_female,0.0092133141030531
het_white_male,0.0053098861180246
idu_black_female,0.0077487381247497
idu_black_male,0.005206569368511
idu_hisp_female,0.0060214545733433
idu_hisp_male,0.0043055988660877
idu_white_female,0.0060214545733433
idu_white_male,0.0040595009072508
msm_black_male,0.0056231730109424
msm_hisp_male,0.0042209103167065
msm_white_male,0.0042861149973545
