group,1,2,3,4
het_black_female,4.39317652729776,4.9598387070549,5.44977063737548,6.29325023977607
het_black_male,4.38178046004133,4.81663783151692,5.20576603392815,5.91607978309962
het_hisp_female,4.4497190922574,5.0,5.36143436761513,6.02785072422171
het_hisp_male,4.38206554672407,4.85798312059645,5.16720427310553,5.77472935375782
het_white_female,4.34683720655078,4.83735464897913,5.36050186245433,6.1891030774676
het_white_male,4.38178046004133,4.81663783151692,5.16599415474318,5.7380297815445
idu_black_female,4.42718872423573,4.88876262463213,5.29409996886851,6.1773587521861
idu_black_male,4.41559718221773,4.81663783151692,5.13322510708424,5.84380013347479
idu_hisp_female,4.40454310910905,4.81663783151692,5.17976779481475,5.92452529743945
idu_hisp_male,4.43170051623521,4.85798312059645,5.13809303146605,5.68154867553199
idu_white_female,4.40454310910905,4.81663783151692,5.17976779481475,5.92452529743945
idu_white_male,4.44915690389744,4.82700735445887,5.11859355682789,5.69297752202234
msm_black_male,4.37035467668243,4.76969600708473,5.09901951359278,5.83952052826257
msm_hisp_male,4.4308568871917,4.8298543837434,5.11370707021824,5.69517185632049
msm_white_male,4.42718872423573,4.81663783151692,5.09901951359278,5.72712842531054
