group,res_var
het_black_female,0.0799243195456636
het_black_male,0.0518691544923198
het_hisp_female,0.0537013865071432
het_hisp_male,0.0446496786678877
het_white_female,0.0828817255004313
het_white_male,0.0423140130744356
idu_black_female,0.0906638350239934
idu_black_male,0.0476095442564846
idu_hisp_female,0.0895001668636325
idu_hisp_male,0.0444098511012091
idu_white_female,0.0895001668636325
idu_white_male,0.0481410635566317
msm_black_male,0.042468813475167
msm_hisp_male,0.0341251218846927
msm_white_male,0.0348074120866294
