group,1,2,3,4
het_black_female,4.39317652729776,4.9613500854152,5.45756315510309,6.308724118235
het_black_male,4.3817804600413295,4.82182538049648,5.21536192416212,5.916079783099621
het_hisp_female,4.444093648245911,5.0149750895773,5.37121758414287,6.02909469207808
het_hisp_male,4.38748219369606,4.85798312059645,5.16720427310553,5.77494588719236
het_white_female,4.3497102077936,4.84767985741633,5.3665631459995,6.18869937870632
het_white_male,4.3817804600413295,4.816637831516919,5.16018354229184,5.73279885278069
idu_black_female,4.42718872423573,4.8964252703327995,5.3103672189407005,6.18059893119188
idu_black_male,4.40454310910905,4.816637831516919,5.12981432551354,5.83952052826257
idu_hisp_female,4.40454310910905,4.816637831516919,5.19421900874485,5.92452529743945
idu_hisp_male,4.43846820423443,4.86826457785523,5.13809303146605,5.70964096944808
idu_white_female,4.40454310910905,4.816637831516919,5.19421900874485,5.92452529743945
idu_white_male,4.4497190922574,4.82700735445887,5.118593556827889,5.69078115436059
msm_black_male,4.37035467668243,4.76969600708473,5.09901951359278,5.83952052826257
msm_hisp_male,4.43846820423443,4.82700735445887,5.1088159097779196,5.69780505747828
msm_white_male,4.42718872423573,4.816637831516919,5.103920062069941,5.73149195236284
