years,probability,prob_low,prob_high
1,0.4222010923448313,0.4602161606672482,0.38733034288200047
2,0.364066868586617,0.3571627681039052,0.36739734301564425
3,0.156968666360306,0.13859274599863292,0.17424507288869523
4,0.04511838226237099,0.03585283976716865,0.05509266012790932
5,0.009726471842320217,0.00695613311202602,0.013064363096402284
6,0.0016774405420710088,0.0010796977463756663,0.0024784075805143373
7,0.00024107806148341356,0.00013965460464345525,0.00039181040883414533
