group,year,lower,upper
het_black_female,2006,6047.154941769766,6982.468994402989
het_black_female,2007,5806.27470779237,6544.81680506991
het_black_female,2008,5549.728078978509,6151.516407424544
het_black_female,2009,5301.512646470292,5761.050867432405
het_black_female,2010,5070.90283696501,5380.673887641681
het_black_female,2011,4854.578876900443,5083.102537293689
het_black_female,2012,4594.08464605381,4831.626214815824
het_black_female,2013,4330.946116116236,4612.55024396514
het_black_female,2014,4134.812782782903,4421.3105357420745
het_black_female,2015,4005.6846460538104,4251.814806885171
het_black_female,2016,3908.778818765809,4098.684107107687
het_black_female,2017,3749.7493756817657,4007.7405543083496
het_black_female,2018,3601.8820732542476,3995.8508674324066
het_black_female,2019,3440.249181162314,3994.0497407578805
het_black_female,2020,3283.2843624842762,3995.0834717365788
het_black_female,2021,3133.242411010305,3997.4324818062814
het_black_female,2022,2989.887704333752,4000.4851941640054
het_black_female,2023,2852.9659879918845,4003.9550035553602
het_black_female,2024,2722.217260311575,4007.6913100817787
het_black_female,2025,2597.382715532122,4011.6078483205424
het_black_female,2026,2478.2085512221433,4015.651800756684
het_black_female,2027,2364.448058319725,4019.7890782443474
het_black_female,2028,2255.862737715721,4023.9967202360185
het_black_female,2029,2152.2228484451816,4028.258708002083
het_black_female,2030,2053.307615971294,4032.5635314131237
het_black_female,2031,1958.9052336690106,4036.902710092721
het_black_female,2032,1868.812737324744,4041.26985980206
het_black_female,2033,1782.8358017504347,4045.6600834798255
het_black_female,2034,1700.7884903881031,4050.069562625915
het_black_female,2035,1622.4929776892516,4054.49527622587
het_black_male,2006,3070.2243931892017,3972.2299166550415
het_black_male,2007,2945.9872706488413,3573.681214084051
het_black_male,2008,2820.285164527239,3247.1014903236337
het_black_male,2009,2664.414495965269,2975.6364752167688
het_black_male,2010,2520.072150822973,2750.101429256612
het_black_male,2011,2386.191052162108,2557.116324353377
het_black_male,2012,2239.8141466076345,2400.1362529995736
het_black_male,2013,2087.2880585909907,2266.8016648736675
het_black_male,2014,1967.4819979849303,2146.995604267607
het_black_male,2015,1880.3959647894533,2042.3657675130962
het_black_male,2016,1804.715984734404,1958.0860213230746
het_black_male,2017,1716.39866204214,1911.4590050141885
het_black_male,2018,1613.1709930410334,1891.4261804702533
het_black_male,2019,1502.4184978605736,1880.8654896816897
het_black_male,2020,1388.5084827700548,1873.4623188031846
het_black_male,2021,1273.1334840982936,1867.524131505921
het_black_male,2022,1156.974688052208,1862.369741582982
het_black_male,2023,1040.3513211707536,1857.679922495413
het_black_male,2024,923.431124567011,1853.2869331301335
het_black_male,2025,806.3101823563367,1849.0946893717828
het_black_male,2026,689.0473237201279,1845.0443620389676
het_black_male,2027,571.6805178158983,1841.0979819741742
het_black_male,2028,454.23533855062294,1837.2299752704257
het_black_male,2029,336.7296278987101,1833.4224999533167
het_black_male,2030,219.17620606746186,1829.6627358155401
het_black_male,2031,101.58451866603616,1825.9412372479437
het_black_male,2032,1,1822.2508933604495
het_black_male,2033,1,1818.5862497103603
het_black_male,2034,1,1814.9430531775697
het_black_male,2035,1,1811.3179388970786
het_hisp_female,2006,1156.9967426791313,1659.3817932799739
het_hisp_female,2007,1145.3395144092608,1555.1277402526082
het_hisp_female,2008,1132.483078645683,1451.5226557554865
het_hisp_female,2009,1118.421973858009,1349.316311204317
het_hisp_female,2010,1102.9767328255923,1251.7385697053514
het_hisp_female,2011,1085.7000485787803,1200.5563223407348
het_hisp_female,2012,1035.4557353431671,1159.8956529691227
het_hisp_female,2013,983.154275614497,1125.9209090685495
het_hisp_female,2014,955.6209422811637,1098.565615877287
het_hisp_female,2015,952.8557353431672,1076.4318088400235
het_hisp_female,2016,954.7588088838257,1057.6762220939574
het_hisp_female,2017,924.4108317179673,1059.0052363720179
het_hisp_female,2018,894.9686103154888,1101.5163112043165
het_hisp_female,2019,866.7093687463217,1148.6559890888193
het_hisp_female,2020,839.7319523330605,1197.1944069192741
het_hisp_female,2021,814.0467024329367,1246.3817932799727
het_hisp_female,2022,789.6207059216954,1295.916391607097
het_hisp_female,2023,766.4005871802144,1345.6567887268388
het_hisp_female,2024,744.3242207198074,1395.5286775240804
het_hisp_female,2025,723.3268639871588,1445.4894939947444
het_hisp_female,2026,703.3443914600983,1495.5131775823345
