group,intercept,year,age,age1,age2,sqrtcd4n,sqrtcd41,sqrtcd42,h1yy_cat_1,h1yy_cat_2
het_black_female,151.145660122067,-0.07712390852722799,0.00700223436129635,-0.0036842612054182,0.13634152659972099,-0.0612035806961976,-0.0485939999417301,0.492672713296162,-0.24060194829275,-0.0641006004302768
het_black_male,38.5218886304467,-0.0215793657815053,0.0106977525731161,0.0232038395088657,0.00578142304757945,0.0447519571005759,-0.325519954976084,1.23844888542995,-0.11827333703861599,-0.858327398436948
het_hisp_female,103.99329338847099,-0.056438964602384,0.152215220040019,-0.250083826394281,0.8532898143763141,-0.0734211657319958,-0.0054437930667389205,0.387321375207435,0.5662217235064639,-0.49482165537290707
het_hisp_male,136.58310267414,-0.0705675029211742,0.0252991914803656,0.0168491948651672,0.0683021004652488,-0.0376080581226084,0.0935453825499339,-0.508428503005601,-0.282589245668604,0.19427138308225897
het_white_female,103.99329338847099,-0.056438964602384,0.152215220040019,-0.250083826394281,0.8532898143763141,-0.0734211657319958,-0.0054437930667389205,0.387321375207435,0.5662217235064639,-0.49482165537290707
het_white_male,136.58310267414,-0.0705675029211742,0.0252991914803656,0.0168491948651672,0.0683021004652488,-0.0376080581226084,0.0935453825499339,-0.508428503005601,-0.282589245668604,0.19427138308225897
idu_black_female,60.3967846258303,-0.0350867690038606,0.10463369944429401,-0.12243016007737,0.6802517263309119,0.217559940312727,-0.5125681253401561,2.70867706083471,-0.0116378212581066,-0.963648466622131
idu_black_male,239.649785120316,-0.121611694436685,0.0274171940904514,0.104949553270167,-0.651323849808549,-0.0263065774404426,-0.0154424017621879,0.177720968516022,-0.11832520618155802,-0.648713652199711
idu_hisp_female,-120.687792534181,0.0595848497086385,-0.0791240669892087,0.246046809301424,-1.06608732649115,0.0553179236045246,-0.304777179025951,1.7281184392276698,-0.0854226962969161,-0.5591874522560649
idu_hisp_male,160.734581488199,-0.0822253633561535,0.00868425401664367,0.0925266583791029,-0.601219489999965,0.00629911810955328,-0.0367914509444118,0.16996304754464,-0.333144772331547,0.21597012868459697
idu_white_female,-120.687792534181,0.0595848497086385,-0.0791240669892087,0.246046809301424,-1.06608732649115,0.0553179236045246,-0.304777179025951,1.7281184392276698,-0.0854226962969161,-0.5591874522560649
idu_white_male,146.911416864286,-0.0752058888139613,0.00617338328920696,0.12108757680337401,-0.791617984889837,0.00726148703685612,-0.13660641107635002,0.8428765356330259,-0.33965775905214896,-0.0483965089364582
msm_black_male,89.8128699886178,-0.0470074403581581,0.0228959165284346,-0.00694367801649143,0.0512851597293572,-0.0541652873407095,-0.0356099289388606,0.352655647369259,-0.53928313361097,-0.43698547187209397
msm_hisp_male,50.135679201810895,-0.0277877544729777,-0.00867666690619851,0.19444295250526,-0.665932455155303,0.0185420338565542,-0.15660086389002897,0.7684406991907479,0.00673775839529947,-0.47209091964732797
msm_white_male,128.045303776746,-0.0667043901313692,0.0369618031756198,0.0289393770564422,-0.172786850799755,-0.0059077641141244,-0.163439804021939,1.0088492870355201,-0.0136265486137587,-0.126102445819625
