group,intercept,age,_age,__age,___age,year,sqrtcd4n,haart_period
het_black_male,219.21339864091877,-0.02080034689392011,0.04343760685366943,-0.17776894286885248,0.1879402318499362,-0.10994622857253698,0.002192995370575387,-0.1340176982624706
het_black_female,129.4712719545429,-0.007626318241312638,-0.01798585174350413,0.006950666252742044,0.04980868533619972,-0.06556016915125229,0.0035410523865885544,-0.23618393835463586
het_hisp_male,152.5417489608946,0.021706480941681993,-0.08506017510263623,0.11759726940810265,-0.014480464813965534,-0.07759576691588234,0.024898264797318864,-0.17904592602024988
het_hisp_female,220.37463500041147,-0.002820934368206677,0.05392773903292817,-0.18368702442752588,0.16681004350750817,-0.1108318321975256,-0.013809468599120196,-0.10341941871870522
het_white_male,151.5696086855775,-0.02433970528313633,0.013812611742726291,-0.07718291408324952,0.041784536545601325,-0.07612409733750677,-0.005860967356128192,-0.23733805290027546
het_white_female,83.69981509902752,-0.014040664144944365,-0.05133477488236176,0.14797327514678962,-0.11298643408806738,-0.042490190511726984,0.0015481632818414946,-0.4089394789734862
idu_black_male,14.01051548111438,-0.026622899917571333,8.44352920536453e-5,0.009215591223194935,0.02224945488742847,-0.007947228120256335,-0.0021077018011542315,0.23503253884081332
idu_black_female,140.8547258010672,-0.019906116182696366,-0.020675449181859686,0.06851973048025951,0.08192273597143003,-0.0710645703894497,0.013608948893080963,0.223420814143974
idu_hisp_male,106.0195520907292,-0.00643076931353146,5.107760705828792e-4,-0.09395288714984139,0.024705629558587867,-0.0537305299026202,-0.006440593646090563,-0.22630770838462905
idu_hisp_female,1.6620963309291323,-0.0012869017384842683,-0.019900246470495184,-0.26907580933538267,0.39171096426947566,-0.0015328516419338912,-0.022578112742488065,-0.3536353438920679
idu_white_male,32.98475843860769,-0.021878321370215427,-0.024764628020008315,-0.030565407432598692,0.11292055347777888,-0.017397918808877647,0.005381305010962263,-0.14846783559449084
idu_white_female,133.5284839088106,-0.005920645683864642,-0.03009935266364125,-0.04332214562484888,0.23616058510523347,-0.0676524852928495,0.0029939747061402356,-0.4086817132597488
msm_black_male,116.39882103862413,0.07453282342526188,-0.19016444151768228,0.2090101356701134,4.685712051482244e-4,-0.060045260068251824,0.003912872625549777,-0.2616268764637879
msm_hisp_male,95.79858720705313,0.07582762870476835,-0.18203618036422214,0.2698433808132251,-0.10364244704715142,-0.050081510411786496,0.020198392955995195,-0.34748390481444164
msm_white_male,58.19797641148893,0.0055717556847503505,-0.05947034737412939,0.09283589848492066,0.0033296002874689335,-0.03022198886905271,0.004920355902222161,-0.27829665738153686
