group,covariate,intercept,year,age,age1,age2,sqrtcd4n,sqrtcd41,sqrtcd42,h1yy_cat_1,h1yy_cat_2
het_black_male,intercept,3542.0807683694607,-1.76356289583752,0.184278753444226,-0.28181027726700897,1.12574014199535,-0.16842200345274097,0.327747105770663,-1.01724207778253,1.307961894592,6.12945284429253
het_black_male,year,-1.7635628957038603,0.000878371380061066,-0.00010757947225618299,0.000169367919015299,-0.000677913613692496,8.045371348056099e-05,-0.000157574785148281,0.000491925298913069,-0.000659595247063741,-0.0030852318260037198
het_black_male,age,0.18427875342966898,-0.00010757947225319301,0.000869519578385112,-0.00168632669761643,0.00699266994430274,-8.634649052847429e-05,0.000352362657843665,-0.00121657536939061,0.00027365122785505,0.00221655037133133
het_black_male,age1,-0.281810277253577,0.00016936791901048001,-0.0016863266976157802,0.0038769583875071702,-0.0174635093070683,0.000197215091151875,-0.00064468544522186,0.00211474672740717,0.000223350314633848,-0.00384042627538636
het_black_male,age2,1.1257401417929398,-0.00067791361359388,0.0069926699442995205,-0.0174635093070761,0.0822756279323475,-0.000863805184859661,0.00244022818734211,-0.00770730359892116,-0.00188625350536793,0.0159431374234512
het_black_male,sqrtcd4n,-0.16842200344348499,8.04537134768423e-05,-8.63464905285335e-05,0.000197215091152467,-0.00086380518486306,0.00166632165640179,-0.004569870591395429,0.0145200211488357,-0.000178212100113976,-0.00181766449984985
het_black_male,sqrtcd41,0.327747105749792,-0.00015757478513949498,0.00035236265784351404,-0.000644685445222641,0.0024402281873474,-0.00456987059139515,0.0146364377961668,-0.049488451100114995,-0.0008496276818280169,0.0021817767609892697
het_black_male,sqrtcd42,-1.01724207769832,0.0004919252988758111,-0.00121657536938986,0.0021147467274099697,-0.00770730359894081,0.0145200211488351,-0.0494884511001159,0.17329443894990199,0.0040456861256296705,-0.0060994511247843605
het_black_male,h1yy_cat_1,1.3079618945347,-0.000659595247094523,0.000273651227860216,0.000223350314627128,-0.00188625350527373,-0.00017821210011759598,-0.00084962768181995,0.004045686125597079,0.0250921089634313,0.0126765893145849
het_black_male,h1yy_cat_2,6.12945284426363,-0.0030852318262099103,0.00221655037134285,-0.00384042627538405,0.0159431374236776,-0.0018176644998651801,0.00218177676102389,-0.006099451124921679,0.012676589314662,0.108533892010623
het_black_female,intercept,3947.4949177089397,-1.96288928377447,0.00261601432981379,0.33953423642359004,-1.67998484554126,-0.0582910800380646,0.21652993545368202,-1.17098504199782,1.64696793599826,6.296012511462621
het_black_female,year,-1.9628892837578003,0.0009762333880524231,-1.1310074267771901e-05,-0.000147731749030547,0.00076259825950765,2.51357512323642e-05,-0.000100453905265113,0.00054506499884871,-0.00082506581637221,-0.0031501021640442197
het_black_female,age,0.00261601433208625,-1.13100742698241e-05,0.000585657356181303,-0.00135037693243855,0.0048308536581640705,5.34602050268507e-05,-8.41186166283225e-05,0.000640458337516042,0.000142306675933753,0.000786024084261567
het_black_female,age1,0.33953423644537,-0.000147731749039753,-0.0013503769324383801,0.00389678714618795,-0.0152153568424281,-8.641405226423309e-05,0.000323469810259565,-0.0021768012128869103,0.000542054534168959,-0.000262685749614864
het_black_female,age2,-1.6799848455198798,0.000762598259490935,0.0048308536581646,-0.0152153568424249,0.0616308603102846,0.00021566793311023798,-0.00118913494875136,0.00785182799376092,-0.0029402080751532397,-0.00109574238211545
het_black_female,sqrtcd4n,-0.0582910800350016,2.51357512306718e-05,5.3460205026859104e-05,-8.64140522640912e-05,0.00021566793310938501,0.0009150772597939998,-0.00225802600094616,0.0110407990286737,-0.00017775911435343302,0.000467770683467546
het_black_female,sqrtcd41,0.216529935438604,-0.00010045390525743101,-8.411861662838409e-05,0.000323469810258648,-0.00118913494874765,-0.00225802600094616,0.00678366342440135,-0.0362156393333461,-0.000206376690100599,-0.00210609588189063
het_black_female,sqrtcd42,-1.17098504192123,0.000545064998809818,0.000640458337516445,-0.0021768012128824,0.00785182799374195,0.0110407990286737,-0.0362156393333463,0.20730754789372302,0.0014008662955803698,0.0135213338243251
het_black_female,h1yy_cat_1,1.6469679357748002,-0.00082506581626825,0.000142306675929868,0.000542054534154425,-0.00294020807513872,-0.000177759114354288,-0.000206376690097255,0.0014008662955634099,0.0243955705198285,0.0107261527181011
het_black_female,h1yy_cat_2,6.29601251082294,-0.00315010216375305,0.00078602408423705,-0.000262685749635358,-0.0010957423821895099,0.00046777068346150197,-0.0021060958818698897,0.0135213338242204,0.0107261527181808,0.0651544766315271
idu_black_male,intercept,1835.10985028101,-0.9130855228238679,0.0230782042696577,0.10174305700015301,-0.402434918784458,-0.0437798089384325,0.0868467179695916,-0.48640664394943894,0.495216234217214,2.88033339381087
idu_black_male,year,-0.9130855226505071,0.000454505080060571,-1.90912754395169e-05,-3.715829304576671e-05,0.00013531762938576798,1.97953664905163e-05,-4.00400256950667e-05,0.00023165292040006898,-0.000249776593470986,-0.00145530369568907
idu_black_male,age,0.023078204262509998,-1.90912754324124e-05,0.000327755498427071,-0.000614156364352778,0.00305404929333708,7.34941836071331e-06,1.8875397807843803e-05,-0.000188452947536169,0.00012677034313541202,0.000998958958714669
idu_black_male,age1,0.10174305699428199,-3.7158293061247794e-05,-0.00061415636435199,0.00157320223878724,-0.009058671972298279,-3.4015545959359494e-05,5.25392931371821e-05,-0.000141745084618965,-0.000101487189311419,-0.0018283438705653102
idu_black_male,age2,-0.40243491874175896,0.00013531762945283798,0.0030540492933321,-0.00905867197229494,0.0568596625065032,0.000202311564318326,-0.000521033614172435,0.00239037301692985,0.000508086102387386,0.009457007088755059
